,Time,Values
0,2020-04-30 22:00:00,26.4
1,2020-04-30 22:30:00,22.0
2,2020-04-30 23:00:00,22.6
3,2020-04-30 23:30:00,18.6
4,2020-05-01 00:00:00,20.200000000000003
5,2020-05-01 00:30:00,21.0
6,2020-05-01 01:00:00,17.0
7,2020-05-01 01:30:00,17.0
8,2020-05-01 02:00:00,33.0
9,2020-05-01 02:30:00,17.6
10,2020-05-01 03:00:00,14.2
11,2020-05-01 03:30:00,15.799999999999999
12,2020-05-01 04:00:00,18.6
13,2020-05-01 04:30:00,19.799999999999997
14,2020-05-01 05:00:00,27.4
15,2020-05-01 05:30:00,34.599999999999994
16,2020-05-01 06:00:00,56.4
17,2020-05-01 06:30:00,72.6
18,2020-05-01 07:00:00,79.6
19,2020-05-01 07:30:00,85.2
20,2020-05-01 08:00:00,82.19999999999999
21,2020-05-01 08:30:00,93.6
22,2020-05-01 09:00:00,84.4
23,2020-05-01 09:30:00,86.2
24,2020-05-01 10:00:00,85.0
25,2020-05-01 10:30:00,78.6
26,2020-05-01 11:00:00,78.6
27,2020-05-01 11:30:00,76.6
28,2020-05-01 12:00:00,72.2
29,2020-05-01 12:30:00,70.6
30,2020-05-01 13:00:00,57.2
31,2020-05-01 13:30:00,57.6
32,2020-05-01 14:00:00,46.2
33,2020-05-01 14:30:00,46.2
34,2020-05-01 15:00:00,47.599999999999994
35,2020-05-01 15:30:00,50.2
36,2020-05-01 16:00:00,51.0
37,2020-05-01 16:30:00,52.4
38,2020-05-01 17:00:00,56.8
39,2020-05-01 17:30:00,58.8
40,2020-05-01 18:00:00,59.599999999999994
41,2020-05-01 18:30:00,58.6
42,2020-05-01 19:00:00,53.400000000000006
43,2020-05-01 19:30:00,49.0
44,2020-05-01 20:00:00,43.400000000000006
45,2020-05-01 20:30:00,39.8
46,2020-05-01 21:00:00,41.2
47,2020-05-01 21:30:00,29.8
48,2020-05-01 22:00:00,25.8
49,2020-05-01 22:30:00,22.2
50,2020-05-01 23:00:00,21.799999999999997
51,2020-05-01 23:30:00,16.6
52,2020-05-02 00:00:00,15.4
53,2020-05-02 00:30:00,15.8
54,2020-05-02 01:00:00,25.6
55,2020-05-02 01:30:00,15.2
56,2020-05-02 02:00:00,15.799999999999999
57,2020-05-02 02:30:00,15.799999999999999
58,2020-05-02 03:00:00,17.4
59,2020-05-02 03:30:00,18.4
60,2020-05-02 04:00:00,20.8
61,2020-05-02 04:30:00,28.4
62,2020-05-02 05:00:00,42.599999999999994
63,2020-05-02 05:30:00,50.8
