time,value
1588284000.0,29.6
1588284000.0,29.6
1588284000.0,29.6
1588284900.0,23.2
1588284900.0,23.2
1588284900.0,23.2
1588285800.0,22.4
1588285800.0,22.4
1588285800.0,22.4
1588286700.0,21.6
1588286700.0,21.6
1588286700.0,21.6
1588287600.0,20.0
1588287600.0,20.0
1588287600.0,20.0
1588288500.0,25.2
1588288500.0,25.2
1588288500.0,25.2
1588289400.0,18.4
1588289400.0,18.4
1588289400.0,18.4
1588290300.0,18.8
1588290300.0,18.8
1588290300.0,18.8
1588291200.0,17.6
1588291200.0,17.6
1588291200.0,17.6
1588292100.0,22.8
1588292100.0,22.8
1588292100.0,22.8
1588293000.0,22.0
1588293000.0,22.0
1588293000.0,22.0
1588293900.0,20.0
1588293900.0,20.0
1588293900.0,20.0
1588294800.0,18.0
1588294800.0,18.0
1588294800.0,18.0
1588295700.0,16.0
1588295700.0,16.0
1588295700.0,16.0
1588296600.0,20.0
1588296600.0,20.0
1588296600.0,20.0
1588297500.0,14.0
1588297500.0,14.0
1588297500.0,14.0
1588298400.0,20.8
1588298400.0,20.8
1588298400.0,20.8
1588299300.0,45.2
1588299300.0,45.2
1588299300.0,45.2
1588300200.0,20.8
1588300200.0,20.8
1588300200.0,20.8
1588301100.0,14.4
1588301100.0,14.4
1588301100.0,14.4
1588302000.0,12.8
1588302000.0,12.8
1588302000.0,12.8
1588302900.0,15.6
1588302900.0,15.6
1588302900.0,15.6
1588303800.0,15.2
1588303800.0,15.2
1588303800.0,15.2
1588304700.0,16.4
1588304700.0,16.4
1588304700.0,16.4
1588305600.0,18.4
1588305600.0,18.4
1588305600.0,18.4
1588306500.0,18.8
1588306500.0,18.8
1588306500.0,18.8
1588307400.0,18.4
1588307400.0,18.4
1588307400.0,18.4
1588308300.0,21.2
1588308300.0,21.2
1588308300.0,21.2
1588309200.0,26.0
1588309200.0,26.0
1588309200.0,26.0
1588310100.0,28.8
1588310100.0,28.8
1588310100.0,28.8
1588311000.0,30.4
1588311000.0,30.4
1588311000.0,30.4
1588311900.0,38.8
1588311900.0,38.8
1588311900.0,38.8
1588312800.0,46.0
1588312800.0,46.0
1588312800.0,46.0
1588313700.0,66.8
1588313700.0,66.8
1588313700.0,66.8
1588314600.0,73.6
1588314600.0,73.6
1588314600.0,73.6
1588315500.0,71.6
1588315500.0,71.6
1588315500.0,71.6
1588316400.0,72.0
1588316400.0,72.0
