Time,Values,Temperature,Dew_Point,Humidity,Wind_Bearing,Wind_Speed
2020-08-20 12:00:00,23.7,31.8,21.3,54.0,142.0,2.8
2020-08-20 13:00:00,25.700000000000003,31.2,21.4,56.0,133.0,3.4
2020-08-20 14:00:00,22.5,30.7,22.9,63.0,128.0,3.1
2020-08-20 15:00:00,22.8,30.7,23.1,64.0,129.0,2.2
2020-08-20 16:00:00,21.200000000000003,30.5,23.5,66.0,135.0,2.9
2020-08-20 17:00:00,20.6,29.5,23.0,68.0,61.0,2.4
2020-08-20 18:00:00,20.299999999999997,28.2,23.3,75.0,80.0,2.5
2020-08-20 19:00:00,19.6,27.2,23.7,81.0,84.0,1.6
2020-08-20 20:00:00,19.9,26.8,23.7,83.0,88.0,1.6
2020-08-20 21:00:00,17.0,26.9,23.7,83.0,79.0,1.7
2020-08-20 22:00:00,14.7,26.8,23.5,82.0,73.0,2.2
2020-08-20 23:00:00,14.9,26.6,23.5,83.0,96.0,1.3
2020-08-21 00:00:00,9.3,26.2,23.3,84.0,71.0,0.7
2020-08-21 01:00:00,6.2,25.7,23.0,85.0,265.0,0.9
2020-08-21 02:00:00,5.699999999999999,25.4,22.7,85.0,149.0,0.8
2020-08-21 03:00:00,8.100000000000001,25.1,22.6,86.0,100.0,0.9
2020-08-21 04:00:00,14.3,24.2,20.3,79.0,5.0,1.8
2020-08-21 05:00:00,16.9,24.1,21.3,84.0,8.0,0.9
2020-08-21 06:00:00,18.9,24.2,21.3,84.0,287.0,0.5
2020-08-21 07:00:00,29.5,25.7,22.2,81.0,251.0,1.0
2020-08-21 08:00:00,26.5,27.8,23.2,76.0,280.0,1.2
2020-08-21 09:00:00,27.4,29.2,22.9,69.0,149.0,1.9
2020-08-21 10:00:00,23.200000000000003,30.9,22.5,61.0,166.0,1.9
2020-08-21 11:00:00,23.1,31.6,23.5,62.0,149.0,3.8
2020-08-21 12:00:00,21.6,31.7,23.3,61.0,146.0,3.4
2020-08-21 13:00:00,24.4,31.9,23.2,60.0,177.0,3.2
2020-08-21 14:00:00,19.3,31.9,23.5,61.0,145.0,3.0
2020-08-21 15:00:00,19.9,31.6,22.6,59.0,137.0,2.8
2020-08-21 16:00:00,19.700000000000003,31.6,23.7,63.0,184.0,3.3
2020-08-21 17:00:00,20.0,31.0,23.6,65.0,178.0,2.8
2020-08-21 18:00:00,19.6,29.6,22.8,67.0,149.0,1.8
2020-08-21 19:00:00,22.2,28.7,21.7,66.0,199.0,1.8
2020-08-21 20:00:00,17.1,28.1,21.1,66.0,236.0,1.2
