Values,Temperature,Dew_Point,Humidity,Wind_Bearing,Wind_Speed
9038.698784745762,23.2,11.9,49.0,127.0,1.4
9362.464970338982,21.1,16.3,74.0,62.0,2.3
7407.810433050848,20.4,16.0,76.0,30.0,2.0
5541.732203225806,20.3,13.9,67.0,40.0,1.9
4514.774509322035,19.5,14.3,72.0,315.0,0.7
4436.662495762712,18.3,13.6,74.0,274.0,0.6
3522.014600854701,18.0,12.8,72.0,296.0,1.2
3025.2856525862067,17.3,12.8,75.0,303.0,0.9
3728.44174017094,16.7,12.8,78.0,34.0,1.0
3111.710685470085,16.7,12.0,74.0,314.0,0.6
3736.217911016949,15.8,12.0,78.0,314.0,0.9
6977.533539830509,15.3,12.2,82.0,314.0,0.5
10286.371958474576,17.2,11.0,67.0,344.0,0.9
12979.609627118643,21.0,11.6,55.0,235.0,0.5
14183.07833898305,0.0,0.0,0.0,0.0,0.0
12716.84940677966,0.0,0.0,0.0,0.0,0.0
11430.046690677966,0.0,0.0,0.0,0.0,0.0
11172.425076271187,0.0,0.0,0.0,0.0,0.0
10947.792326271187,0.0,0.0,0.0,0.0,0.0
10110.189661016948,26.2,15.9,53.0,131.0,3.1
8618.046847899159,26.4,13.6,45.0,162.0,2.4
7540.801792372881,24.9,16.0,58.0,128.0,2.6
7742.677813675214,25.4,16.0,56.0,138.0,2.3
8085.307062711865,24.0,17.0,65.0,148.0,2.3
8186.709714406779,22.6,16.6,69.0,99.0,1.9
9179.567028813559,22.0,14.6,63.0,58.0,1.3
7878.5406847457625,21.4,15.3,68.0,251.0,0.4
5875.169359677419,20.7,16.7,78.0,269.0,0.8
4499.931151694916,20.2,16.6,80.0,201.0,0.4
4141.857174789916,19.6,16.2,81.0,99.0,0.4
3729.5999279661014,19.1,16.5,85.0,271.0,0.5
4078.675746491228,18.5,14.1,76.0,303.0,1.3
4212.124764957265,18.1,14.0,77.0,302.0,1.2
5115.591964957264,17.6,13.6,77.0,326.0,0.7
5410.616980508475,17.2,14.1,82.0,1.0,1.0
8710.84606101695,17.5,15.7,89.0,6.0,1.0
11173.679029661018,19.0,14.4,75.0,346.0,0.8
13682.293525423729,22.9,14.7,60.0,356.0,0.8
13611.468669491525,25.7,12.8,45.0,109.0,1.1
12967.728398305086,26.8,14.9,48.0,139.0,2.0
11415.310817796611,27.5,14.1,44.0,138.0,1.7
10795.794737288137,27.2,14.6,46.0,141.0,2.9
10852.983788135594,27.7,15.0,46.0,159.0,2.2
10081.227847457627,27.2,16.2,51.0,124.0,2.5
9083.928965254237,26.6,16.6,54.0,129.0,2.6
8894.047577966101,26.2,17.3,58.0,124.0,2.6
8919.888898305084,26.5,17.3,57.0,137.0,2.4
9419.186466101695,26.3,16.8,56.0,150.0,1.7
9432.057093220339,24.8,16.5,60.0,154.0,1.3
9600.81685762712,23.5,15.0,59.0,199.0,1.3
7648.528287288136,22.5,14.3,60.0,128.0,1.0
5821.610817460318,22.0,14.9,64.0,64.0,1.3
4603.6895305084745,20.9,16.3,75.0,26.0,1.8
4489.418113793104,20.5,15.3,72.0,39.0,0.5
3334.782687288136,20.1,14.9,72.0,19.0,1.1
3079.076938793103,19.3,14.3,73.0,360.0,0.4
3646.149723478261,19.2,14.9,76.0,20.0,1.5
3213.802437931034,19.2,17.5,90.0,25.0,1.5
4340.719910169491,18.7,16.5,87.0,332.0,0.6
7258.2490652542365,18.0,15.3,84.0,346.0,0.9
