Time,Values,Temperature,Dew_Point,Humidity,Wind_Bearing,Wind_Speed
2020-08-20 12:00:00,225.60000000000002,31.8,21.3,54.0,142.0,2.8
2020-08-20 13:00:00,208.6,31.2,21.4,56.0,133.0,3.4
2020-08-20 14:00:00,194.6,30.7,22.9,63.0,128.0,3.1
2020-08-20 15:00:00,165.4,30.7,23.1,64.0,129.0,2.2
2020-08-20 16:00:00,186.6,30.5,23.5,66.0,135.0,2.9
2020-08-20 17:00:00,177.0,29.5,23.0,68.0,61.0,2.4
2020-08-20 18:00:00,188.0,28.2,23.3,75.0,80.0,2.5
2020-08-20 19:00:00,208.8,27.2,23.7,81.0,84.0,1.6
2020-08-20 20:00:00,178.2,26.8,23.7,83.0,88.0,1.6
2020-08-20 21:00:00,143.4,26.9,23.7,83.0,79.0,1.7
2020-08-20 22:00:00,123.80000000000001,26.8,23.5,82.0,73.0,2.2
2020-08-20 23:00:00,104.0,26.6,23.5,83.0,96.0,1.3
2020-08-21 00:00:00,69.8,26.2,23.3,84.0,71.0,0.7
2020-08-21 01:00:00,53.0,25.7,23.0,85.0,265.0,0.9
2020-08-21 02:00:00,62.8,25.4,22.7,85.0,149.0,0.8
2020-08-21 03:00:00,72.2,25.1,22.6,86.0,100.0,0.9
2020-08-21 04:00:00,74.6,24.2,20.3,79.0,5.0,1.8
2020-08-21 05:00:00,111.0,24.1,21.3,84.0,8.0,0.9
2020-08-21 06:00:00,164.6,24.2,21.3,84.0,287.0,0.5
2020-08-21 07:00:00,225.6,25.7,22.2,81.0,251.0,1.0
2020-08-21 08:00:00,246.0,27.8,23.2,76.0,280.0,1.2
2020-08-21 09:00:00,239.0,29.2,22.9,69.0,149.0,1.9
2020-08-21 10:00:00,241.6,30.9,22.5,61.0,166.0,1.9
2020-08-21 11:00:00,222.0,31.6,23.5,62.0,149.0,3.8
2020-08-21 12:00:00,229.4,31.7,23.3,61.0,146.0,3.4
2020-08-21 13:00:00,221.8,31.9,23.2,60.0,177.0,3.2
2020-08-21 14:00:00,208.4,31.9,23.5,61.0,145.0,3.0
2020-08-21 15:00:00,187.2,31.6,22.6,59.0,137.0,2.8
2020-08-21 16:00:00,186.0,31.6,23.7,63.0,184.0,3.3
2020-08-21 17:00:00,185.6,31.0,23.6,65.0,178.0,2.8
2020-08-21 18:00:00,199.2,29.6,22.8,67.0,149.0,1.8
2020-08-21 19:00:00,188.0,28.7,21.7,66.0,199.0,1.8
2020-08-21 20:00:00,172.8,28.1,21.1,66.0,236.0,1.2
2020-08-21 21:00:00,144.8,27.1,20.5,67.0,218.0,0.9
2020-08-21 22:00:00,132.0,26.5,21.5,74.0,268.0,0.6
2020-08-21 23:00:00,109.4,25.8,21.3,76.0,249.0,0.1
2020-08-22 00:00:00,78.8,25.3,21.2,78.0,182.0,0.8
2020-08-22 01:00:00,60.0,24.8,20.1,75.0,314.0,1.0
2020-08-22 02:00:00,56.6,24.2,17.9,68.0,240.0,0.7
2020-08-22 03:00:00,54.6,23.5,17.9,71.0,322.0,0.8
2020-08-22 04:00:00,75.4,23.0,18.8,77.0,6.0,1.0
2020-08-22 05:00:00,94.4,23.4,16.9,67.0,35.0,1.7
2020-08-22 06:00:00,139.0,23.1,19.8,82.0,50.0,1.4
2020-08-22 07:00:00,207.0,26.0,20.8,73.0,22.0,1.7
2020-08-22 08:00:00,241.600005,27.7,23.7,79.0,67.0,2.8
2020-08-22 09:00:00,266.20000500000003,29.1,23.5,72.0,113.0,2.3
2020-08-22 10:00:00,236.6,30.3,23.7,68.0,183.0,1.7
2020-08-22 11:00:00,223.6,32.2,22.0,55.0,193.0,2.3
2020-08-22 12:00:00,225.2,33.1,22.6,54.0,147.0,3.0
2020-08-22 13:00:00,211.6,32.6,23.0,57.0,104.0,3.5
2020-08-22 14:00:00,185.4,32.5,22.9,57.0,106.0,4.0
2020-08-22 15:00:00,167.2,31.7,23.0,60.0,90.0,4.0
2020-08-22 16:00:00,171.4,30.5,23.2,65.0,115.0,4.0
2020-08-22 17:00:00,177.8,29.4,23.6,71.0,83.0,4.0
2020-08-22 18:00:00,182.4,28.6,23.7,75.0,78.0,2.0
2020-08-22 19:00:00,195.0,27.7,23.7,79.0,75.0,1.5
2020-08-22 20:00:00,177.6,27.3,24.0,82.0,31.0,1.2
2020-08-22 21:00:00,151.2,27.0,23.9,83.0,75.0,1.0
2020-08-22 22:00:00,144.4,26.8,24.1,85.0,37.0,1.0
2020-08-22 23:00:00,114.6,26.5,24.0,86.0,16.0,1.2
2020-08-23 00:00:00,89.6,26.2,23.7,86.0,23.0,1.1
2020-08-23 01:00:00,67.6,25.8,22.9,84.0,22.0,1.2
2020-08-23 02:00:00,56.0,25.8,22.3,81.0,348.0,0.9
2020-08-23 03:00:00,90.19999999999999,26.0,22.5,81.0,346.0,0.8
2020-08-23 04:00:00,57.2,26.1,22.4,80.0,187.0,0.4
2020-08-23 05:00:00,66.2,26.1,23.4,85.0,169.0,1.6
2020-08-23 06:00:00,114.8,26.0,22.9,83.0,62.0,1.6
2020-08-23 07:00:00,175.8,27.5,22.4,74.0,355.0,2.5
2020-08-23 08:00:00,214.6,29.2,22.4,67.0,73.0,3.7
2020-08-23 09:00:00,236.2,29.1,22.6,68.0,83.0,3.5
2020-08-23 10:00:00,233.8,30.1,22.3,63.0,105.0,3.2
2020-08-23 11:00:00,211.79999999999998,31.3,22.6,60.0,145.0,3.5
2020-08-23 12:00:00,195.2,31.2,22.8,61.0,123.0,3.0
2020-08-23 13:00:00,175.6,30.8,22.1,60.0,121.0,2.9
