Time,Values,Temperature,Dew_Point,Humidity,Wind_Bearing,Wind_Speed
2020-08-20 12:00:00,7633.333247826087,31.8,21.3,54.0,142.0,2.8
2020-08-20 13:00:00,7693.123053097345,31.2,21.4,56.0,133.0,3.4
2020-08-20 14:00:00,7129.540487179487,30.7,22.9,63.0,128.0,3.1
2020-08-20 15:00:00,6385.327457264957,30.7,23.1,64.0,129.0,2.2
2020-08-20 16:00:00,6555.6444401709405,30.5,23.5,66.0,135.0,2.9
2020-08-20 17:00:00,7623.652875,29.5,23.0,68.0,61.0,2.4
2020-08-20 18:00:00,9398.188208695652,28.2,23.3,75.0,80.0,2.5
2020-08-20 19:00:00,8098.8684310344825,27.2,23.7,81.0,84.0,1.6
2020-08-20 20:00:00,7362.44647008547,26.8,23.7,83.0,88.0,1.6
2020-08-20 21:00:00,7853.268469827586,26.9,23.7,83.0,79.0,1.7
2020-08-20 22:00:00,7593.927777777778,26.8,23.5,82.0,73.0,2.2
2020-08-20 23:00:00,4567.159975438596,26.6,23.5,83.0,96.0,1.3
2020-08-21 00:00:00,4005.567420689655,26.2,23.3,84.0,71.0,0.7
2020-08-21 01:00:00,4273.03123119266,25.7,23.0,85.0,265.0,0.9
2020-08-21 02:00:00,3550.6880848214287,25.4,22.7,85.0,149.0,0.8
2020-08-21 03:00:00,3596.354030357143,25.1,22.6,86.0,100.0,0.9
2020-08-21 04:00:00,3804.8911339130436,24.2,20.3,79.0,5.0,1.8
2020-08-21 05:00:00,4663.194422807018,24.1,21.3,84.0,8.0,0.9
2020-08-21 06:00:00,8121.557834782609,24.2,21.3,84.0,287.0,0.5
2020-08-21 07:00:00,9887.997513274337,25.7,22.2,81.0,251.0,1.0
2020-08-21 08:00:00,8266.07385775862,27.8,23.2,76.0,280.0,1.2
2020-08-21 09:00:00,9752.154853448275,29.2,22.9,69.0,149.0,1.9
2020-08-21 10:00:00,9020.923717391304,30.9,22.5,61.0,166.0,1.9
2020-08-21 11:00:00,8258.457824786325,31.6,23.5,62.0,149.0,3.8
2020-08-21 12:00:00,8677.97347008547,31.7,23.3,61.0,146.0,3.4
2020-08-21 13:00:00,8033.015398305085,31.9,23.2,60.0,177.0,3.2
2020-08-21 14:00:00,7184.626306034483,31.9,23.5,61.0,145.0,3.0
2020-08-21 15:00:00,6120.144631355932,31.6,22.6,59.0,137.0,2.8
2020-08-21 16:00:00,6469.288706896552,31.6,23.7,63.0,184.0,3.3
2020-08-21 17:00:00,7584.0394067796615,31.0,23.6,65.0,178.0,2.8
2020-08-21 18:00:00,9325.49844017094,29.6,22.8,67.0,149.0,1.8
2020-08-21 19:00:00,8128.177872881356,28.7,21.7,66.0,199.0,1.8
2020-08-21 20:00:00,7521.545435897436,28.1,21.1,66.0,236.0,1.2
2020-08-21 21:00:00,7302.173021551725,27.1,20.5,67.0,218.0,0.9
2020-08-21 22:00:00,6411.817413793103,26.5,21.5,74.0,268.0,0.6
2020-08-21 23:00:00,4927.965929661017,25.8,21.3,76.0,249.0,0.1
2020-08-22 00:00:00,3210.3635974576273,25.3,21.2,78.0,182.0,0.8
2020-08-22 01:00:00,2542.572320869565,24.8,20.1,75.0,314.0,1.0
2020-08-22 02:00:00,2393.3614898305086,24.2,17.9,68.0,240.0,0.7
2020-08-22 03:00:00,2049.242353272727,23.5,17.9,71.0,322.0,0.8
2020-08-22 04:00:00,2304.398106837607,23.0,18.8,77.0,6.0,1.0
2020-08-22 05:00:00,2809.057138135593,23.4,16.9,67.0,35.0,1.7
2020-08-22 06:00:00,4901.490486206896,23.1,19.8,82.0,50.0,1.4
2020-08-22 07:00:00,7376.780521367521,26.0,20.8,73.0,22.0,1.7
2020-08-22 08:00:00,7714.285584033613,27.7,23.7,79.0,67.0,2.8
2020-08-22 09:00:00,7727.064969298246,29.1,23.5,72.0,113.0,2.3
2020-08-22 10:00:00,7189.924409482758,30.3,23.7,68.0,183.0,1.7
2020-08-22 11:00:00,7743.26488362069,32.2,22.0,55.0,193.0,2.3
2020-08-22 12:00:00,7727.7958859649125,33.1,22.6,54.0,147.0,3.0
2020-08-22 13:00:00,7335.1447043478265,32.6,23.0,57.0,104.0,3.5
2020-08-22 14:00:00,7105.6158000000005,32.5,22.9,57.0,106.0,4.0
2020-08-22 15:00:00,6310.883495689654,31.7,23.0,60.0,90.0,4.0
2020-08-22 16:00:00,6927.532181034483,30.5,23.2,65.0,115.0,4.0
2020-08-22 17:00:00,8404.81315948276,29.4,23.6,71.0,83.0,4.0
2020-08-22 18:00:00,9055.944525862069,28.6,23.7,75.0,78.0,2.0
2020-08-22 19:00:00,9293.296886956521,27.7,23.7,79.0,75.0,1.5
2020-08-22 20:00:00,8115.020794117647,27.3,24.0,82.0,31.0,1.2
2020-08-22 21:00:00,8019.097083333333,27.0,23.9,83.0,75.0,1.0
2020-08-22 22:00:00,7066.207495762712,26.8,24.1,85.0,37.0,1.0
2020-08-22 23:00:00,4533.135654310345,26.5,24.0,86.0,16.0,1.2
2020-08-23 00:00:00,3142.869799137931,26.2,23.7,86.0,23.0,1.1
2020-08-23 01:00:00,2684.6508769230772,25.8,22.9,84.0,22.0,1.2
2020-08-23 02:00:00,2236.3505370689654,25.8,22.3,81.0,348.0,0.9
2020-08-23 03:00:00,2178.179750877193,26.0,22.5,81.0,346.0,0.8
2020-08-23 04:00:00,2487.0721026785714,26.1,22.4,80.0,187.0,0.4
2020-08-23 05:00:00,2917.127438938053,26.1,23.4,85.0,169.0,1.6
2020-08-23 06:00:00,4923.550627826087,26.0,22.9,83.0,62.0,1.6
2020-08-23 07:00:00,7143.74982173913,27.5,22.4,74.0,355.0,2.5
2020-08-23 08:00:00,8069.565060869565,29.2,22.4,67.0,73.0,3.7
2020-08-23 09:00:00,7789.812677966102,29.1,22.6,68.0,83.0,3.5
2020-08-23 10:00:00,7598.329603448276,30.1,22.3,63.0,105.0,3.2
2020-08-23 11:00:00,7414.016688596491,31.3,22.6,60.0,145.0,3.5
2020-08-23 12:00:00,7392.5669957627115,31.2,22.8,61.0,123.0,3.0
2020-08-23 13:00:00,7880.025482456141,30.8,22.1,60.0,121.0,2.9
2020-08-23 14:00:00,6880.786897435898,32.0,22.7,58.0,145.0,3.6
2020-08-23 15:00:00,6274.483431623931,30.7,22.9,63.0,117.0,2.5
2020-08-23 16:00:00,5957.165814655173,30.3,23.0,65.0,136.0,3.0
2020-08-23 17:00:00,7213.724350877193,29.1,23.0,70.0,119.0,2.4
2020-08-23 18:00:00,7451.2996709401705,28.0,23.2,75.0,90.0,2.1
2020-08-23 19:00:00,6823.005542735043,27.5,23.3,78.0,78.0,1.7
2020-08-23 20:00:00,6336.659546218488,27.1,23.2,79.0,72.0,2.4
2020-08-23 21:00:00,6079.553697345133,26.8,22.4,77.0,77.0,3.0
2020-08-23 22:00:00,5732.930569747899,26.6,22.9,80.0,77.0,2.2
2020-08-23 23:00:00,3852.9991620689652,26.3,23.2,83.0,69.0,1.8
2020-08-24 00:00:00,3157.1556904347826,26.3,22.7,81.0,81.0,1.8
2020-08-24 01:00:00,3990.2285619469026,25.9,22.6,82.0,79.0,2.0
2020-08-24 02:00:00,3654.464044761905,25.8,22.7,83.0,85.0,1.6
2020-08-24 03:00:00,3884.925150943396,25.5,22.6,84.0,20.0,1.1
2020-08-24 04:00:00,3501.6914923076924,25.1,22.4,85.0,357.0,1.0
2020-08-24 05:00:00,4707.582436036036,24.9,22.0,84.0,27.0,1.6
2020-08-24 06:00:00,7052.172995689655,24.9,21.8,83.0,27.0,1.3
2020-08-24 07:00:00,6654.633461206897,25.7,22.2,81.0,24.0,1.2
2020-08-24 08:00:00,7109.152311965812,28.0,21.5,68.0,112.0,2.2
2020-08-24 09:00:00,7827.279085470086,28.9,21.6,65.0,88.0,1.8
2020-08-24 10:00:00,7534.366025641025,29.7,21.6,62.0,128.0,3.5
2020-08-24 11:00:00,6694.711414529914,30.3,20.9,57.0,132.0,3.1
2020-08-24 12:00:00,6769.4326218487395,30.5,21.0,57.0,133.0,3.6
2020-08-24 13:00:00,6196.327461864406,30.2,21.3,59.0,126.0,3.7
2020-08-24 14:00:00,6123.49920338983,30.3,22.2,62.0,140.0,3.9
2020-08-24 15:00:00,5658.015391525424,30.4,22.0,61.0,150.0,3.6
2020-08-24 16:00:00,5931.143972881357,29.9,21.8,62.0,137.0,3.0
2020-08-24 17:00:00,7084.846782051282,28.7,21.7,66.0,125.0,2.7
2020-08-24 18:00:00,7472.13075,27.4,21.7,71.0,123.0,2.2
2020-08-24 19:00:00,6393.408620689655,26.7,21.7,74.0,138.0,1.6
2020-08-24 20:00:00,6098.824713675213,26.6,21.8,75.0,62.0,2.1
2020-08-24 21:00:00,5804.041793162393,26.5,21.3,73.0,148.0,1.3
2020-08-24 22:00:00,4986.256870588235,26.1,21.3,75.0,173.0,1.2
2020-08-24 23:00:00,3565.32473220339,25.5,21.2,77.0,263.0,1.1
2020-08-25 00:00:00,4123.617169911505,25.0,21.1,79.0,277.0,0.9
2020-08-25 01:00:00,4820.115390756302,24.5,21.0,81.0,299.0,0.8
2020-08-25 02:00:00,4381.824665517242,24.1,20.9,82.0,298.0,0.9
2020-08-25 03:00:00,3367.99402920354,23.6,20.5,83.0,303.0,0.9
2020-08-25 04:00:00,3862.3574017094015,22.9,19.5,81.0,284.0,0.8
2020-08-25 05:00:00,5422.323885344828,22.1,17.9,77.0,284.0,1.0
2020-08-25 06:00:00,6314.655081896552,22.1,17.7,76.0,301.0,0.8
2020-08-25 07:00:00,7439.3856594827585,25.2,19.3,70.0,357.0,1.0
2020-08-25 08:00:00,7151.264136752136,28.9,17.1,49.0,335.0,0.5
2020-08-25 09:00:00,7990.808647058824,31.2,17.9,45.0,172.0,1.2
2020-08-25 10:00:00,8166.5774059829055,31.4,18.8,47.0,144.0,3.0
2020-08-25 11:00:00,7280.890728448276,31.4,20.7,53.0,149.0,3.4
2020-08-25 12:00:00,7217.770478632478,31.7,20.3,51.0,134.0,2.7
2020-08-25 13:00:00,6825.905630434782,31.8,20.1,50.0,141.0,3.0
2020-08-25 14:00:00,6059.851588983051,31.5,21.1,54.0,140.0,3.2
2020-08-25 15:00:00,6210.363572033899,30.8,21.3,57.0,142.0,2.8
2020-08-25 16:00:00,6379.540431623932,30.5,21.8,60.0,135.0,2.8
2020-08-25 17:00:00,7444.650266949153,29.9,22.3,64.0,139.0,2.2
2020-08-25 18:00:00,7420.940025641025,28.1,22.6,72.0,145.0,1.8
2020-08-25 19:00:00,6884.621949152543,27.1,22.7,77.0,137.0,1.1
2020-08-25 20:00:00,6545.168599137931,26.6,22.9,80.0,150.0,0.6
2020-08-25 21:00:00,6123.742801724138,26.2,22.9,82.0,309.0,0.7
