Water_flow,Temperature,DewPoint,Humidity,WindBearing,WindSpeed
[0.35852372583479786],[0.905982905982906],[0.9285714285714284],[0.5510204081632653],[0.3944444444444445],[0.3333333333333333]
[0.39367311072056244],[0.8888888888888888],[0.9311224489795917],[0.5714285714285714],[0.36944444444444446],[0.4047619047619047]
[0.3374340949033392],[0.8746438746438746],[0.9693877551020407],[0.6428571428571428],[0.35555555555555557],[0.369047619047619]
[0.3427065026362039],[0.8746438746438746],[0.9744897959183674],[0.6530612244897959],[0.35833333333333334],[0.2619047619047619]
[0.31458699472759233],[0.868945868945869],[0.9846938775510203],[0.673469387755102],[0.375],[0.34523809523809523]
[0.30404217926186294],[0.8404558404558404],[0.971938775510204],[0.6938775510204082],[0.16944444444444445],[0.2857142857142857]
[0.2987697715289982],[0.8034188034188035],[0.9795918367346939],[0.7653061224489796],[0.22222222222222224],[0.2976190476190476]
[0.2864674868189807],[0.7749287749287749],[0.9897959183673468],[0.8265306122448979],[0.23333333333333334],[0.19047619047619047]
[0.2917398945518453],[0.7635327635327636],[0.9897959183673468],[0.846938775510204],[0.24444444444444446],[0.19047619047619047]
[0.24077328646748677],[0.7663817663817664],[0.9897959183673468],[0.846938775510204],[0.21944444444444444],[0.20238095238095236]
[0.20035149384885761],[0.7635327635327636],[0.9846938775510203],[0.836734693877551],[0.20277777777777778],[0.2619047619047619]
[0.2038664323374341],[0.7578347578347578],[0.9846938775510203],[0.846938775510204],[0.26666666666666666],[0.15476190476190477]
[0.10544815465729349],[0.7464387464387464],[0.9795918367346939],[0.8571428571428571],[0.19722222222222224],[0.08333333333333333]
[0.050966608084358524],[0.7321937321937322],[0.971938775510204],[0.8673469387755102],[0.7361111111111112],[0.10714285714285714]
[0.04217926186291738],[0.7236467236467237],[0.9642857142857142],[0.8673469387755102],[0.4138888888888889],[0.09523809523809523]
[0.0843585237258348],[0.7150997150997151],[0.9617346938775508],[0.8775510204081632],[0.2777777777777778],[0.10714285714285714]
[0.1933216168717047],[0.6894586894586895],[0.9030612244897958],[0.8061224489795917],[0.01388888888888889],[0.21428571428571427]
[0.23901581722319856],[0.6866096866096867],[0.9285714285714284],[0.8571428571428571],[0.022222222222222223],[0.10714285714285714]
[0.27416520210896306],[0.6894586894586895],[0.9285714285714284],[0.8571428571428571],[0.7972222222222223],[0.05952380952380952]
[0.4604569420035149],[0.7321937321937322],[0.9515306122448979],[0.8265306122448979],[0.6972222222222223],[0.11904761904761904]
[0.4077328646748682],[0.792022792022792],[0.9770408163265305],[0.7755102040816326],[0.7777777777777778],[0.14285714285714285]
[0.42355008787346216],[0.8319088319088319],[0.9693877551020407],[0.7040816326530611],[0.4138888888888889],[0.22619047619047616]
[0.3497363796133568],[0.8803418803418803],[0.9591836734693877],[0.6224489795918366],[0.46111111111111114],[0.22619047619047616]
[0.34797891036906853],[0.9002849002849004],[0.9846938775510203],[0.6326530612244897],[0.4138888888888889],[0.45238095238095233]
[0.3216168717047452],[0.9031339031339032],[0.9795918367346939],[0.6224489795918366],[0.40555555555555556],[0.4047619047619047]
