Water_flow,Temperature,DewPoint,Humidity,WindBearing,WindSpeed
[0.3722966359363013],[0.3722966359363013],[0.5979381443298969],[0.6699751861042185],[0.49999999999999994],[0.3527777777777778]
[0.3879677956353931],[0.3879677956353931],[0.5438144329896908],[0.7791563275434243],[0.7551020408163265],[0.17222222222222222]
[0.29335722549734194],[0.29335722549734194],[0.5257731958762887],[0.7717121588089331],[0.7755102040816326],[0.08333333333333334]
[0.20303398838409897],[0.20303398838409897],[0.5231958762886598],[0.7196029776674939],[0.6836734693877551],[0.11111111111111112]
[0.1533264564011358],[0.1533264564011358],[0.5025773195876289],[0.7295285359801489],[0.7346938775510203],[0.875]
[0.14954562352427775],[0.14954562352427775],[0.4716494845360825],[0.7121588089330025],[0.7551020408163265],[0.7611111111111112]
[0.10527418979416535],[0.10527418979416535],[0.4639175257731959],[0.6923076923076924],[0.7346938775510203],[0.8222222222222223]
[0.08123116423479555],[0.08123116423479555],[0.4458762886597939],[0.6923076923076924],[0.7653061224489796],[0.8416666666666667]
[0.11526582205966647],[0.11526582205966647],[0.43041237113402064],[0.6923076923076924],[0.7959183673469387],[0.09444444444444444]
[0.08541436974725804],[0.08541436974725804],[0.43041237113402064],[0.6724565756823822],[0.7551020408163265],[0.8722222222222222]
[0.11564220977585722],[0.11564220977585722],[0.4072164948453609],[0.6724565756823822],[0.7959183673469387],[0.8722222222222222]
[0.2725306592636562],[0.2725306592636562],[0.39432989690721654],[0.6774193548387097],[0.836734693877551],[0.8722222222222222]
[0.4326873945386917],[0.4326873945386917],[0.443298969072165],[0.6476426799007444],[0.6836734693877551],[0.9555555555555556]
[0.5630473873081607],[0.5630473873081607],[0.5412371134020619],[0.6625310173697271],[0.5612244897959183],[0.6527777777777778]
[0.6212985303110398],[0.6212985303110398],[0.0],[0.37468982630272957],[0.0],[0.0]
[0.5503290814481587],[0.5503290814481587],[0.0],[0.37468982630272957],[0.0],[0.0]
[0.4880443470855936],[0.4880443470855936],[0.0],[0.37468982630272957],[0.0],[0.0]
[0.47557476366103285],[0.47557476366103285],[0.0],[0.37468982630272957],[0.0],[0.0]
[0.46470193056252324],[0.46470193056252324],[0.0],[0.37468982630272957],[0.0],[0.0]
