Water_flow,Temperature,DewPoint,Humidity,WindBearing,WindSpeed
[0.5183400107758087],[0.828125],[0.9285714285714284],[0.5510204081632653],[0.3944444444444445],[0.3333333333333333]
[0.5704529489039754],[0.8125],[0.9311224489795917],[0.5714285714285714],[0.36944444444444446],[0.4047619047619047]
[0.41774933196097436],[0.7994791666666666],[0.9693877551020407],[0.6428571428571428],[0.35555555555555557],[0.369047619047619]
[0.4127390334944598],[0.7994791666666666],[0.9744897959183674],[0.6530612244897959],[0.35833333333333334],[0.2619047619047619]
[0.3887517733647245],[0.7942708333333334],[0.9846938775510203],[0.673469387755102],[0.375],[0.34523809523809523]
[0.42371458407833024],[0.7682291666666667],[0.971938775510204],[0.6938775510204082],[0.16944444444444445],[0.2857142857142857]
[0.4056962839367806],[0.734375],[0.9795918367346939],[0.7653061224489796],[0.22222222222222224],[0.2976190476190476]
[0.46071217877226517],[0.7083333333333334],[0.9897959183673468],[0.8265306122448979],[0.23333333333333334],[0.19047619047619047]
[0.37083809750163926],[0.6979166666666667],[0.9897959183673468],[0.846938775510204],[0.24444444444444446],[0.19047619047619047]
[0.28651592202534804],[0.7005208333333334],[0.9897959183673468],[0.846938775510204],[0.21944444444444444],[0.20238095238095236]
[0.20729268959245778],[0.6979166666666667],[0.9846938775510203],[0.836734693877551],[0.20277777777777778],[0.2619047619047619]
[0.12872294492012587],[0.6927083333333334],[0.9846938775510203],[0.846938775510204],[0.26666666666666666],[0.15476190476190477]
[0.08953864490720992],[0.6822916666666666],[0.9795918367346939],[0.8571428571428571],[0.19722222222222224],[0.08333333333333333]
[0.08655133979721497],[0.6692708333333334],[0.971938775510204],[0.8673469387755102],[0.7361111111111112],[0.10714285714285714]
[0.04691541201595226],[0.6614583333333334],[0.9642857142857142],[0.8673469387755102],[0.4138888888888889],[0.09523809523809523]
[0.08872435912946947],[0.6536458333333334],[0.9617346938775508],[0.8775510204081632],[0.2777777777777778],[0.10714285714285714]
[0.19016962314415292],[0.6302083333333334],[0.9030612244897958],[0.8061224489795917],[0.01388888888888889],[0.21428571428571427]
[0.2872447878725622],[0.6276041666666667],[0.9285714285714284],[0.8571428571428571],[0.022222222222222223],[0.10714285714285714]
[0.46660370598102446],[0.6302083333333334],[0.9285714285714284],[0.8571428571428571],[0.7972222222222223],[0.05952380952380952]
[0.5523129016906172],[0.6692708333333334],[0.9515306122448979],[0.8265306122448979],[0.6972222222222223],[0.11904761904761904]
[0.7632520258524218],[0.7239583333333334],[0.9770408163265305],[0.7755102040816326],[0.7777777777777778],[0.14285714285714285]
[0.8213005331229546],[0.7604166666666666],[0.9693877551020407],[0.7040816326530611],[0.4138888888888889],[0.22619047619047616]
[0.6449730006347578],[0.8046875],[0.9591836734693877],[0.6224489795918366],[0.46111111111111114],[0.22619047619047616]
[0.6220295466754859],[0.8229166666666667],[0.9846938775510203],[0.6326530612244897],[0.4138888888888889],[0.45238095238095233]
[0.6590475774265767],[0.8255208333333334],[0.9795918367346939],[0.6224489795918366],[0.40555555555555556],[0.4047619047619047]
[0.5919912055702632],[0.8307291666666666],[0.9770408163265305],[0.6122448979591836],[0.4916666666666667],[0.38095238095238093]
[0.5192699562038687],[0.8307291666666666],[0.9846938775510203],[0.6224489795918366],[0.4027777777777778],[0.3571428571428571]
[0.36009325416308247],[0.8229166666666667],[0.9617346938775508],[0.6020408163265306],[0.3805555555555556],[0.3333333333333333]
[0.4285119767489188],[0.8229166666666667],[0.9897959183673468],[0.6428571428571428],[0.5111111111111112],[0.3928571428571428]
[0.43614984426264286],[0.8072916666666667],[0.9872448979591837],[0.6632653061224489],[0.49444444444444446],[0.3333333333333333]
[0.4064150810789171],[0.7708333333333334],[0.9668367346938775],[0.6836734693877551],[0.4138888888888889],[0.21428571428571427]
