Water_flow,Temperature,DewPoint,Humidity,WindBearing,WindSpeed
[0.5411596277738011],[0.905982905982906],[0.9285714285714284],[0.5510204081632653],[0.3944444444444445],[0.3333333333333333]
[0.47100930565497495],[0.8888888888888888],[0.9311224489795917],[0.5714285714285714],[0.36944444444444446],[0.4047619047619047]
[0.5096635647816752],[0.8746438746438746],[0.9693877551020407],[0.6428571428571428],[0.35555555555555557],[0.369047619047619]
[0.42591267000715827],[0.8746438746438746],[0.9744897959183674],[0.6530612244897959],[0.35833333333333334],[0.2619047619047619]
[0.4516821760916249],[0.868945868945869],[0.9846938775510203],[0.673469387755102],[0.375],[0.34523809523809523]
[0.44237652111667863],[0.8404558404558404],[0.971938775510204],[0.6938775510204082],[0.16944444444444445],[0.2857142857142857]
[0.45597709377236945],[0.8034188034188035],[0.9795918367346939],[0.7653061224489796],[0.22222222222222224],[0.2976190476190476]
[0.4502505368647102],[0.7749287749287749],[0.9897959183673468],[0.8265306122448979],[0.23333333333333334],[0.19047619047619047]
[0.2992125984251969],[0.7635327635327636],[0.9897959183673468],[0.846938775510204],[0.24444444444444446],[0.19047619047619047]
[0.23264137437365784],[0.7663817663817664],[0.9897959183673468],[0.846938775510204],[0.21944444444444444],[0.20238095238095236]
[0.19685039370078744],[0.7635327635327636],[0.9846938775510203],[0.836734693877551],[0.20277777777777778],[0.2619047619047619]
[0.24337866857551899],[0.7578347578347578],[0.9846938775510203],[0.846938775510204],[0.26666666666666666],[0.15476190476190477]
[0.14889047959914103],[0.7464387464387464],[0.9795918367346939],[0.8571428571428571],[0.19722222222222224],[0.08333333333333333]
[0.16750178954903364],[0.7321937321937322],[0.971938775510204],[0.8673469387755102],[0.7361111111111112],[0.10714285714285714]
[0.19756621331424484],[0.7236467236467237],[0.9642857142857142],[0.8673469387755102],[0.4138888888888889],[0.09523809523809523]
[0.07444523979957049],[0.7150997150997151],[0.9617346938775508],[0.8775510204081632],[0.2777777777777778],[0.10714285714285714]
[0.12884753042233357],[0.6894586894586895],[0.9030612244897958],[0.8061224489795917],[0.01388888888888889],[0.21428571428571427]
[0.2140300644237652],[0.6866096866096867],[0.9285714285714284],[0.8571428571428571],[0.022222222222222223],[0.10714285714285714]
[0.29849677881173947],[0.6894586894586895],[0.9285714285714284],[0.8571428571428571],[0.7972222222222223],[0.05952380952380952]
[0.534001431639227],[0.7321937321937322],[0.9515306122448979],[0.8265306122448979],[0.6972222222222223],[0.11904761904761904]
[0.5790980672870438],[0.792022792022792],[0.9770408163265305],[0.7755102040816326],[0.7777777777777778],[0.14285714285714285]
[0.6692913385826773],[0.8319088319088319],[0.9693877551020407],[0.7040816326530611],[0.4138888888888889],[0.22619047619047616]
[0.5941302791696493],[0.8803418803418803],[0.9591836734693877],[0.6224489795918366],[0.46111111111111114],[0.22619047619047616]
[0.5898353614889049],[0.9002849002849004],[0.9846938775510203],[0.6326530612244897],[0.4138888888888889],[0.45238095238095233]
[0.5454545454545456],[0.9031339031339032],[0.9795918367346939],[0.6224489795918366],[0.40555555555555556],[0.4047619047619047]
[0.5447387258410882],[0.9088319088319088],[0.9770408163265305],[0.6122448979591836],[0.4916666666666667],[0.38095238095238093]
[0.49391553328561205],[0.9088319088319088],[0.9846938775510203],[0.6224489795918366],[0.4027777777777778],[0.3571428571428571]
[0.3994273443092342],[0.9002849002849004],[0.9617346938775508],[0.6020408163265306],[0.3805555555555556],[0.3333333333333333]
[0.3686471009305655],[0.9002849002849004],[0.9897959183673468],[0.6428571428571428],[0.5111111111111112],[0.3928571428571428]
[0.4416607015032213],[0.8831908831908832],[0.9872448979591837],[0.6632653061224489],[0.49444444444444446],[0.3333333333333333]
[0.45884037222619906],[0.8433048433048433],[0.9668367346938775],[0.6836734693877551],[0.4138888888888889],[0.21428571428571427]
[0.4967788117394418],[0.8176638176638177],[0.9387755102040816],[0.673469387755102],[0.5527777777777778],[0.21428571428571427]
[0.2913385826771654],[0.8005698005698006],[0.9234693877551019],[0.673469387755102],[0.6555555555555556],[0.14285714285714285]
[0.22261989978525415],[0.7720797720797722],[0.9081632653061222],[0.6836734693877551],[0.6055555555555556],[0.10714285714285714]
[0.31209735146743023],[0.754985754985755],[0.9336734693877551],[0.7551020408163265],[0.7444444444444445],[0.07142857142857142]
[0.13743736578382248],[0.7350427350427351],[0.9285714285714284],[0.7755102040816326],[0.6916666666666667],[0.011904761904761904]
[0.07945597709377239],[0.7207977207977209],[0.9260204081632653],[0.7959183673469387],[0.5055555555555555],[0.09523809523809523]
[0.032927702219040796],[0.7065527065527066],[0.8979591836734693],[0.7653061224489796],[0.8722222222222222],[0.11904761904761904]
[0.04223335719398711],[0.6894586894586895],[0.8418367346938774],[0.6938775510204082],[0.6666666666666667],[0.08333333333333333]
[0.0987831066571224],[0.6695156695156695],[0.8418367346938774],[0.7244897959183673],[0.8944444444444445],[0.09523809523809523]
[0.06442376521116677],[0.6552706552706553],[0.8647959183673468],[0.7857142857142857],[0.016666666666666666],[0.11904761904761904]
[0.06871868289191124],[0.6666666666666666],[0.8163265306122447],[0.6836734693877551],[0.09722222222222222],[0.20238095238095236]
[0.21975662133142454],[0.6581196581196582],[0.8903061224489794],[0.836734693877551],[0.1388888888888889],[0.16666666666666666]
[0.40801717967072304],[0.7407407407407407],[0.9158163265306121],[0.7448979591836734],[0.061111111111111116],[0.20238095238095236]
[0.5518969219756622],[0.7891737891737892],[0.9897959183673468],[0.8061224489795917],[0.18611111111111112],[0.3333333333333333]
[0.5962777380100216],[0.8290598290598291],[0.9846938775510203],[0.7346938775510203],[0.3138888888888889],[0.2738095238095238]
[0.5433070866141734],[0.8632478632478633],[0.9897959183673468],[0.6938775510204082],[0.5083333333333333],[0.20238095238095236]
[0.4810307802433787],[0.9173789173789175],[0.9464285714285714],[0.5612244897959183],[0.5361111111111111],[0.2738095238095238]
[0.4889047959914102],[0.9430199430199431],[0.9617346938775508],[0.5510204081632653],[0.4083333333333333],[0.3571428571428571]
[0.4917680744452399],[0.9287749287749288],[0.971938775510204],[0.5816326530612245],[0.2888888888888889],[0.41666666666666663]
[0.4566929133858268],[0.9259259259259259],[0.9693877551020407],[0.5816326530612245],[0.29444444444444445],[0.47619047619047616]
[0.42519685039370086],[0.9031339031339032],[0.971938775510204],[0.6122448979591836],[0.25],[0.47619047619047616]
[0.3937007874015748],[0.868945868945869],[0.9770408163265305],[0.6632653061224489],[0.3194444444444445],[0.47619047619047616]
[0.3908375089477452],[0.8376068376068376],[0.9872448979591837],[0.7244897959183673],[0.23055555555555557],[0.47619047619047616]
[0.43521832498210455],[0.8148148148148149],[0.9897959183673468],[0.7653061224489796],[0.21666666666666667],[0.23809523809523808]
[0.40801717967072304],[0.7891737891737892],[0.9897959183673468],[0.8061224489795917],[0.20833333333333334],[0.17857142857142855]
[0.3994273443092341],[0.7777777777777778],[0.9974489795918366],[0.836734693877551],[0.08611111111111111],[0.14285714285714285]
[0.22834645669291342],[0.7692307692307693],[0.9948979591836733],[0.846938775510204],[0.20833333333333334],[0.11904761904761904]
[0.18754473872584113],[0.7635327635327636],[1.0],[0.8673469387755102],[0.10277777777777779],[0.11904761904761904]
[0.14602720114531137],[0.754985754985755],[0.9974489795918366],[0.8775510204081632],[0.044444444444444446],[0.14285714285714285]
[0.1324266284896206],[0.7464387464387464],[0.9897959183673468],[0.8775510204081632],[0.0638888888888889],[0.13095238095238096]
[0.08518253400143164],[0.7350427350427351],[0.9693877551020407],[0.8571428571428571],[0.061111111111111116],[0.14285714285714285]
[0.09377236936292055],[0.7350427350427351],[0.9540816326530612],[0.8265306122448979],[0.9666666666666667],[0.10714285714285714]
[0.09735146743020759],[0.7407407407407407],[0.9591836734693877],[0.8265306122448979],[0.9611111111111111],[0.09523809523809523]
[0.02791696492483895],[0.7435897435897436],[0.9566326530612244],[0.8163265306122448],[0.5194444444444445],[0.047619047619047616]
[0.07229778095919828],[0.7435897435897436],[0.982142857142857],[0.8673469387755102],[0.46944444444444444],[0.19047619047619047]
[0.3006442376521117],[0.7407407407407407],[0.9693877551020407],[0.846938775510204],[0.17222222222222222],[0.19047619047619047]
[0.2899069434502506],[0.7834757834757835],[0.9566326530612244],[0.7551020408163265],[0.9861111111111112],[0.2976190476190476]
[0.4430923407301361],[0.8319088319088319],[0.9566326530612244],[0.6836734693877551],[0.20277777777777778],[0.44047619047619047]
[0.5153901216893344],[0.8290598290598291],[0.9617346938775508],[0.6938775510204082],[0.23055555555555557],[0.41666666666666663]
[0.49391553328561205],[0.8575498575498576],[0.9540816326530612],[0.6428571428571428],[0.2916666666666667],[0.38095238095238093]
[0.4509663564781676],[0.8917378917378918],[0.9617346938775508],[0.6122448979591836],[0.4027777777777778],[0.41666666666666663]
[0.4917680744452398],[0.8888888888888888],[0.9668367346938775],[0.6224489795918366],[0.3416666666666667],[0.3571428571428571]
[0.4810307802433787],[0.8774928774928775],[0.9489795918367345],[0.6122448979591836],[0.33611111111111114],[0.34523809523809523]
[0.40944881889763785],[0.9116809116809117],[0.9642857142857142],[0.5918367346938775],[0.4027777777777778],[0.42857142857142855]
[0.3421617752326414],[0.8746438746438746],[0.9693877551020407],[0.6428571428571428],[0.325],[0.2976190476190476]
[0.3879742304939156],[0.8632478632478633],[0.971938775510204],[0.6632653061224489],[0.37777777777777777],[0.3571428571428571]
[0.44953471725125277],[0.8290598290598291],[0.971938775510204],[0.7142857142857142],[0.33055555555555555],[0.2857142857142857]
[0.4795991410164639],[0.7977207977207977],[0.9770408163265305],[0.7653061224489796],[0.25],[0.25]
[0.3528990694345025],[0.7834757834757835],[0.9795918367346939],[0.7959183673469387],[0.21666666666666667],[0.20238095238095236]
[0.28489620615604866],[0.7720797720797722],[0.9770408163265305],[0.8061224489795917],[0.2],[0.2857142857142857]
[0.24838940586972086],[0.7635327635327636],[0.9566326530612244],[0.7857142857142857],[0.2138888888888889],[0.3571428571428571]
[0.18396564065855409],[0.7578347578347578],[0.9693877551020407],[0.8163265306122448],[0.2138888888888889],[0.2619047619047619]
[0.15246957766642805],[0.7492877492877493],[0.9770408163265305],[0.846938775510204],[0.19166666666666668],[0.21428571428571427]
[0.08589835361488904],[0.7492877492877493],[0.9642857142857142],[0.8265306122448979],[0.225],[0.21428571428571427]
[0.07015032211882608],[0.7378917378917379],[0.9617346938775508],[0.836734693877551],[0.21944444444444444],[0.23809523809523808]
[0.08661417322834647],[0.7350427350427351],[0.9642857142857142],[0.846938775510204],[0.23611111111111113],[0.19047619047619047]
[0.11739441660701502],[0.7264957264957265],[0.9617346938775508],[0.8571428571428571],[0.05555555555555556],[0.13095238095238096]
[0.18038654259126705],[0.7150997150997151],[0.9566326530612244],[0.8673469387755102],[0.9916666666666667],[0.11904761904761904]
[0.24982104509663566],[0.7094017094017093],[0.9464285714285714],[0.8571428571428571],[0.075],[0.19047619047619047]
[0.4674302075876879],[0.7094017094017093],[0.9413265306122449],[0.846938775510204],[0.075],[0.15476190476190477]
[0.5762347888332141],[0.7321937321937322],[0.9515306122448979],[0.8265306122448979],[0.06666666666666667],[0.14285714285714285]
[0.5662133142448104],[0.7977207977207977],[0.9336734693877551],[0.6938775510204082],[0.3111111111111111],[0.2619047619047619]
[0.6062992125984253],[0.8233618233618233],[0.9362244897959182],[0.6632653061224489],[0.24444444444444446],[0.21428571428571427]
[0.5454545454545456],[0.8461538461538461],[0.9362244897959182],[0.6326530612244897],[0.35555555555555557],[0.41666666666666663]
[0.5418754473872586],[0.8632478632478633],[0.9183673469387754],[0.5816326530612245],[0.3666666666666667],[0.369047619047619]
[0.5841088045812456],[0.868945868945869],[0.9209183673469388],[0.5816326530612245],[0.36944444444444446],[0.42857142857142855]
[0.5332856120257696],[0.8603988603988604],[0.9285714285714284],[0.6020408163265306],[0.35000000000000003],[0.44047619047619047]
[0.4996420901932714],[0.8632478632478633],[0.9515306122448979],[0.6326530612244897],[0.3888888888888889],[0.46428571428571425]
[0.45884037222619906],[0.8660968660968661],[0.9464285714285714],[0.6224489795918366],[0.4166666666666667],[0.42857142857142855]
[0.4316392269148175],[0.8518518518518519],[0.9413265306122449],[0.6326530612244897],[0.3805555555555556],[0.3571428571428571]
[0.46671438797423054],[0.8176638176638177],[0.9387755102040816],[0.673469387755102],[0.3472222222222222],[0.32142857142857145]
[0.49105225483178244],[0.7806267806267806],[0.9387755102040816],[0.7244897959183673],[0.3416666666666667],[0.2619047619047619]
[0.43235504652827494],[0.7606837606837606],[0.9387755102040816],[0.7551020408163265],[0.38333333333333336],[0.19047619047619047]
[0.3507516105941303],[0.7578347578347578],[0.9413265306122449],[0.7653061224489796],[0.17222222222222222],[0.25]
[0.25769506084466715],[0.754985754985755],[0.9285714285714284],[0.7448979591836734],[0.41111111111111115],[0.15476190476190477]
[0.3428775948460988],[0.7435897435897436],[0.9285714285714284],[0.7653061224489796],[0.48055555555555557],[0.14285714285714285]
[0.1689334287759485],[0.7264957264957265],[0.9260204081632653],[0.7857142857142857],[0.7305555555555556],[0.13095238095238096]
[0.14459556191839656],[0.7122507122507122],[0.9234693877551019],[0.8061224489795917],[0.7694444444444445],[0.10714285714285714]
[0.12813171080887617],[0.698005698005698],[0.9209183673469388],[0.8265306122448979],[0.8305555555555556],[0.09523809523809523]
[0.1073729420186113],[0.6866096866096867],[0.9183673469387754],[0.836734693877551],[0.8277777777777778],[0.10714285714285714]
[0.13314244810307804],[0.6723646723646725],[0.9081632653061222],[0.846938775510204],[0.8416666666666667],[0.10714285714285714]
[0.2018611309949893],[0.6524216524216524],[0.8826530612244897],[0.8265306122448979],[0.788888888888889],[0.09523809523809523]
[0.2841803865425913],[0.6296296296296297],[0.8418367346938774],[0.7857142857142857],[0.788888888888889],[0.11904761904761904]
[0.3686471009305655],[0.6296296296296297],[0.8367346938775508],[0.7755102040816326],[0.8361111111111111],[0.09523809523809523]
[0.5540443808160346],[0.717948717948718],[0.8775510204081631],[0.7142857142857142],[0.9916666666666667],[0.11904761904761904]
[0.5468861846814604],[0.8233618233618233],[0.8214285714285714],[0.49999999999999994],[0.9305555555555556],[0.05952380952380952]
[0.5440229062276307],[0.8888888888888888],[0.8418367346938774],[0.4591836734693877],[0.4777777777777778],[0.14285714285714285]
[0.5003579098067288],[0.8945868945868946],[0.8647959183673468],[0.47959183673469385],[0.4],[0.3571428571428571]
[0.5884037222619901],[0.8945868945868946],[0.9132653061224489],[0.5408163265306122],[0.4138888888888889],[0.4047619047619047]
[0.5669291338582678],[0.9031339031339032],[0.9030612244897958],[0.520408163265306],[0.37222222222222223],[0.32142857142857145]
[0.5504652827487475],[0.905982905982906],[0.8979591836734693],[0.5102040816326531],[0.39166666666666666],[0.3571428571428571]
[0.5683607730851827],[0.8974358974358975],[0.9234693877551019],[0.5510204081632653],[0.3888888888888889],[0.38095238095238093]
