Water_flow,Temperature,DewPoint,Humidity,WindBearing,WindSpeed
[0.46831386371091926],[0.828125],[0.9285714285714284],[0.5510204081632653],[0.3944444444444445],[0.3333333333333333]
[0.4725019222227615],[0.8125],[0.9311224489795917],[0.5714285714285714],[0.36944444444444446],[0.4047619047619047]
[0.43302501221093387],[0.7994791666666666],[0.9693877551020407],[0.6428571428571428],[0.35555555555555557],[0.369047619047619]
[0.3808955948225196],[0.7994791666666666],[0.9744897959183674],[0.6530612244897959],[0.35833333333333334],[0.2619047619047619]
[0.3928256803401853],[0.7942708333333334],[0.9846938775510203],[0.673469387755102],[0.375],[0.34523809523809523]
[0.4676357887844637],[0.7682291666666667],[0.971938775510204],[0.6938775510204082],[0.16944444444444445],[0.2857142857142857]
[0.5919355381335627],[0.734375],[0.9795918367346939],[0.7653061224489796],[0.22222222222222224],[0.2976190476190476]
[0.5009229109849901],[0.7083333333333334],[0.9897959183673468],[0.8265306122448979],[0.23333333333333334],[0.19047619047619047]
[0.4493392296555803],[0.6979166666666667],[0.9897959183673468],[0.846938775510204],[0.24444444444444446],[0.19047619047619047]
[0.4837195265054102],[0.7005208333333334],[0.9897959183673468],[0.846938775510204],[0.21944444444444444],[0.20238095238095236]
[0.4655536537804765],[0.6979166666666667],[0.9846938775510203],[0.836734693877551],[0.20277777777777778],[0.2619047619047619]
[0.2535395721080914],[0.6927083333333334],[0.9846938775510203],[0.846938775510204],[0.26666666666666666],[0.15476190476190477]
[0.21420205514457413],[0.6822916666666666],[0.9795918367346939],[0.8571428571428571],[0.19722222222222224],[0.08333333333333333]
[0.23293692278806077],[0.6692708333333334],[0.971938775510204],[0.8673469387755102],[0.7361111111111112],[0.10714285714285714]
[0.18233941124063346],[0.6614583333333334],[0.9642857142857142],[0.8673469387755102],[0.4138888888888889],[0.09523809523809523]
[0.18553814472093982],[0.6536458333333334],[0.9617346938775508],[0.8775510204081632],[0.2777777777777778],[0.10714285714285714]
[0.20014541075266323],[0.6302083333333334],[0.9030612244897958],[0.8061224489795917],[0.01388888888888889],[0.21428571428571427]
[0.2602664360426144],[0.6276041666666667],[0.9285714285714284],[0.8571428571428571],[0.022222222222222223],[0.10714285714285714]
[0.502512221237212],[0.6302083333333334],[0.9285714285714284],[0.8571428571428571],[0.7972222222222223],[0.05952380952380952]
[0.6262448993685353],[0.6692708333333334],[0.9515306122448979],[0.8265306122448979],[0.6972222222222223],[0.11904761904761904]
[0.5126350433032208],[0.7239583333333334],[0.9770408163265305],[0.7755102040816326],[0.7777777777777778],[0.14285714285714285]
[0.6167296148618419],[0.7604166666666666],[0.9693877551020407],[0.7040816326530611],[0.4138888888888889],[0.22619047619047616]
[0.5655095319464757],[0.8046875],[0.9591836734693877],[0.6224489795918366],[0.46111111111111114],[0.22619047619047616]
[0.5121015678792522],[0.8229166666666667],[0.9846938775510203],[0.6326530612244897],[0.4138888888888889],[0.45238095238095233]
[0.5414871138126264],[0.8255208333333334],[0.9795918367346939],[0.6224489795918366],[0.40555555555555556],[0.4047619047619047]
[0.4963101454306998],[0.8307291666666666],[0.9770408163265305],[0.6122448979591836],[0.4916666666666667],[0.38095238095238093]
[0.43688357357420965],[0.8307291666666666],[0.9846938775510203],[0.6224489795918366],[0.4027777777777778],[0.3571428571428571]
[0.36232050185802483],[0.8229166666666667],[0.9617346938775508],[0.6020408163265306],[0.3805555555555556],[0.3333333333333333]
[0.38677677514396724],[0.8229166666666667],[0.9897959183673468],[0.6428571428571428],[0.5111111111111112],[0.3928571428571428]
[0.4648610093381836],[0.8072916666666667],[0.9872448979591837],[0.6632653061224489],[0.49444444444444446],[0.3333333333333333]
[0.5868438840896566],[0.7708333333333334],[0.9668367346938775],[0.6836734693877551],[0.4138888888888889],[0.21428571428571427]
[0.5029759308409211],[0.7473958333333334],[0.9387755102040816],[0.673469387755102],[0.5527777777777778],[0.21428571428571427]
[0.46048353385545376],[0.7317708333333334],[0.9234693877551019],[0.673469387755102],[0.6555555555555556],[0.14285714285714285]
[0.44511729369133696],[0.7057291666666667],[0.9081632653061222],[0.6836734693877551],[0.6055555555555556],[0.10714285714285714]
[0.38275111998124367],[0.6901041666666667],[0.9336734693877551],[0.7551020408163265],[0.7444444444444445],[0.07142857142857142]
[0.2788127176025283],[0.671875],[0.9285714285714284],[0.7755102040816326],[0.6916666666666667],[0.011904761904761904]
[0.15850091804558264],[0.6588541666666667],[0.9260204081632653],[0.7959183673469387],[0.5055555555555555],[0.09523809523809523]
[0.11172456666995699],[0.6458333333333334],[0.8979591836734693],[0.7653061224489796],[0.8722222222222222],[0.11904761904761904]
[0.10127289036565952],[0.6302083333333334],[0.8418367346938774],[0.6938775510204082],[0.6666666666666667],[0.08333333333333333]
[0.07716859578884795],[0.6119791666666667],[0.8418367346938774],[0.7244897959183673],[0.8944444444444445],[0.09523809523809523]
[0.09504132878596648],[0.5989583333333334],[0.8647959183673468],[0.7857142857142857],[0.016666666666666666],[0.11904761904761904]
[0.13039085939602157],[0.609375],[0.8163265306122447],[0.6836734693877551],[0.09722222222222222],[0.20238095238095236]
[0.2769582090318819],[0.6015625000000001],[0.8903061224489794],[0.836734693877551],[0.1388888888888889],[0.16666666666666666]
[0.4503432778408624],[0.6770833333333334],[0.9158163265306121],[0.7448979591836734],[0.061111111111111116],[0.20238095238095236]
[0.47398428058498826],[0.7213541666666666],[0.9897959183673468],[0.8061224489795917],[0.18611111111111112],[0.3333333333333333]
[0.47487943006725936],[0.7578125000000001],[0.9846938775510203],[0.7346938775510203],[0.3138888888888889],[0.2738095238095238]
[0.43725468646113924],[0.7890625],[0.9897959183673468],[0.6938775510204082],[0.5083333333333333],[0.20238095238095236]
[0.476014175175751],[0.8385416666666667],[0.9464285714285714],[0.5612244897959183],[0.5361111111111111],[0.2738095238095238]
[0.47493062812273706],[0.8619791666666667],[0.9617346938775508],[0.5510204081632653],[0.4083333333333333],[0.3571428571428571]
[0.44742684021281315],[0.8489583333333334],[0.971938775510204],[0.5816326530612245],[0.2888888888888889],[0.41666666666666663]
[0.4313491748448373],[0.8463541666666667],[0.9693877551020407],[0.5816326530612245],[0.29444444444444445],[0.47619047619047616]
[0.37568106593224787],[0.8255208333333334],[0.971938775510204],[0.6122448979591836],[0.25],[0.47619047619047616]
[0.41887506470441294],[0.7942708333333334],[0.9770408163265305],[0.6632653061224489],[0.3194444444444445],[0.47619047619047616]
[0.5223532270450258],[0.765625],[0.9872448979591837],[0.7244897959183673],[0.23055555555555557],[0.47619047619047616]
[0.5679626122724972],[0.7447916666666667],[0.9897959183673468],[0.7653061224489796],[0.21666666666666667],[0.23809523809523808]
[0.5845882823458085],[0.7213541666666666],[0.9897959183673468],[0.8061224489795917],[0.20833333333333334],[0.17857142857142855]
[0.502054325302028],[0.7109375],[0.9974489795918366],[0.836734693877551],[0.08611111111111111],[0.14285714285714285]
[0.49533521806267294],[0.703125],[0.9948979591836733],[0.846938775510204],[0.20833333333333334],[0.11904761904761904]
[0.42858876638975935],[0.6979166666666667],[1.0],[0.8673469387755102],[0.10277777777777779],[0.11904761904761904]
[0.2511562920979903],[0.6901041666666667],[0.9974489795918366],[0.8775510204081632],[0.044444444444444446],[0.14285714285714285]
[0.1537732228261896],[0.6822916666666666],[0.9897959183673468],[0.8775510204081632],[0.0638888888888889],[0.13095238095238096]
[0.12167665303870458],[0.671875],[0.9693877551020407],[0.8571428571428571],[0.061111111111111116],[0.14285714285714285]
[0.09027484388964031],[0.671875],[0.9540816326530612],[0.8265306122448979],[0.9666666666666667],[0.10714285714285714]
[0.08620019177887121],[0.6770833333333334],[0.9591836734693877],[0.8265306122448979],[0.9611111111111111],[0.09523809523809523]
[0.10783697813961556],[0.6796875000000001],[0.9566326530612244],[0.8163265306122448],[0.5194444444444445],[0.047619047619047616]
[0.13796079111096332],[0.6796875000000001],[0.982142857142857],[0.8673469387755102],[0.46944444444444444],[0.19047619047619047]
[0.27850344175946046],[0.6770833333333334],[0.9693877551020407],[0.846938775510204],[0.17222222222222222],[0.19047619047619047]
[0.43402032444318045],[0.7161458333333334],[0.9566326530612244],[0.7551020408163265],[0.9861111111111112],[0.2976190476190476]
[0.4988703164283082],[0.7604166666666666],[0.9566326530612244],[0.6836734693877551],[0.20277777777777778],[0.44047619047619047]
[0.479274678959487],[0.7578125000000001],[0.9617346938775508],[0.6938775510204082],[0.23055555555555557],[0.41666666666666663]
[0.46586198566721443],[0.7838541666666667],[0.9540816326530612],[0.6428571428571428],[0.2916666666666667],[0.38095238095238093]
[0.4529515359946423],[0.8151041666666667],[0.9617346938775508],[0.6122448979591836],[0.4027777777777778],[0.41666666666666663]
[0.4514490629853834],[0.8125],[0.9668367346938775],[0.6224489795918366],[0.3416666666666667],[0.3571428571428571]
[0.4855937579731678],[0.8020833333333334],[0.9489795918367345],[0.6122448979591836],[0.33611111111111114],[0.34523809523809523]
[0.41560072751640337],[0.8333333333333334],[0.9642857142857142],[0.5918367346938775],[0.4027777777777778],[0.42857142857142855]
[0.3731313737656581],[0.7994791666666666],[0.9693877551020407],[0.6428571428571428],[0.325],[0.2976190476190476]
[0.35090442820739354],[0.7890625],[0.971938775510204],[0.6632653061224489],[0.37777777777777777],[0.3571428571428571]
