,index,Time,Values
0,0,2020-04-30 22:00:00,36.400000000000006
1,1,2020-04-30 22:30:00,27.8
2,2,2020-04-30 23:00:00,24.6
3,3,2020-04-30 23:30:00,21.0
4,4,2020-05-01 00:00:00,21.4
5,5,2020-05-01 00:30:00,22.799999999999997
6,6,2020-05-01 01:00:00,16.8
7,7,2020-05-01 01:30:00,16.6
8,8,2020-05-01 02:00:00,23.6
9,9,2020-05-01 02:30:00,18.0
10,10,2020-05-01 03:00:00,17.200000000000003
11,11,2020-05-01 03:30:00,15.8
12,12,2020-05-01 04:00:00,13.399999999999999
13,13,2020-05-01 04:30:00,14.0
14,14,2020-05-01 05:00:00,19.0
15,15,2020-05-01 05:30:00,28.799999999999997
16,16,2020-05-01 06:00:00,37.0
17,17,2020-05-01 06:30:00,43.2
18,18,2020-05-01 07:00:00,62.400000000000006
19,19,2020-05-01 07:30:00,72.0
20,20,2020-05-01 08:00:00,79.6
21,21,2020-05-01 08:30:00,87.0
22,22,2020-05-01 09:00:00,98.6
23,23,2020-05-01 09:30:00,92.80000000000001
24,24,2020-05-01 10:00:00,90.8
25,25,2020-05-01 10:30:00,85.0
26,26,2020-05-01 11:00:00,81.4
27,27,2020-05-01 11:30:00,81.0
28,28,2020-05-01 12:00:00,81.4
29,29,2020-05-01 12:30:00,82.0
30,30,2020-05-01 13:00:00,78.0
31,31,2020-05-01 13:30:00,71.6
32,32,2020-05-01 14:00:00,65.6
33,33,2020-05-01 14:30:00,58.0
34,34,2020-05-01 15:00:00,59.400000000000006
35,35,2020-05-01 15:30:00,55.8
36,36,2020-05-01 16:00:00,51.8
37,37,2020-05-01 16:30:00,70.80000000000001
38,38,2020-05-01 17:00:00,50.400000000000006
39,39,2020-05-01 17:30:00,52.6
40,40,2020-05-01 18:00:00,55.0
41,41,2020-05-01 18:30:00,54.8
42,42,2020-05-01 19:00:00,61.2
43,43,2020-05-01 19:30:00,62.8
44,44,2020-05-01 20:00:00,58.0
45,45,2020-05-01 20:30:00,45.8
46,46,2020-05-01 21:00:00,46.400000000000006
47,47,2020-05-01 21:30:00,34.0
48,48,2020-05-01 22:00:00,34.2
49,49,2020-05-01 22:30:00,30.799999999999997
50,50,2020-05-01 23:00:00,30.6
51,51,2020-05-01 23:30:00,21.2
52,52,2020-05-02 00:00:00,22.6
53,53,2020-05-02 00:30:00,40.0
54,54,2020-05-02 01:00:00,21.4
55,55,2020-05-02 01:30:00,14.4
56,56,2020-05-02 02:00:00,35.8
57,57,2020-05-02 02:30:00,16.0
58,58,2020-05-02 03:00:00,19.8
59,59,2020-05-02 03:30:00,41.0
60,60,2020-05-02 04:00:00,15.399999999999999
61,61,2020-05-02 04:30:00,17.2
62,62,2020-05-02 05:00:00,23.4
63,63,2020-05-02 05:30:00,27.0
64,64,2020-05-02 06:00:00,43.0
65,65,2020-05-02 06:30:00,56.400000000000006
66,66,2020-05-02 07:00:00,63.0
67,67,2020-05-02 07:30:00,81.0
68,68,2020-05-02 08:00:00,102.6
69,69,2020-05-02 08:30:00,101.0
70,70,2020-05-02 09:00:00,114.6
71,71,2020-05-02 09:30:00,110.4
72,72,2020-05-02 10:00:00,113.0
73,73,2020-05-02 10:30:00,101.19999999999999
74,74,2020-05-02 11:00:00,101.8
75,75,2020-05-02 11:30:00,98.4
76,76,2020-05-02 12:00:00,94.8
77,77,2020-05-02 12:30:00,89.4
78,78,2020-05-02 13:00:00,80.6
79,79,2020-05-02 13:30:00,94.6
80,80,2020-05-02 14:00:00,78.4
81,81,2020-05-02 14:30:00,64.4
82,82,2020-05-02 15:00:00,65.80000000000001
83,83,2020-05-02 15:30:00,60.2
84,84,2020-05-02 16:00:00,51.400000000000006
85,85,2020-05-02 16:30:00,53.8
86,86,2020-05-02 17:00:00,53.0
87,87,2020-05-02 17:30:00,55.4
88,88,2020-05-02 18:00:00,63.8
89,89,2020-05-02 18:30:00,51.0
90,90,2020-05-02 19:00:00,55.8
91,91,2020-05-02 19:30:00,64.4
92,92,2020-05-02 20:00:00,57.400000000000006
93,93,2020-05-02 20:30:00,56.400000000000006
94,94,2020-05-02 21:00:00,45.8
95,95,2020-05-02 21:30:00,37.8
96,96,2020-05-02 22:00:00,36.8
97,97,2020-05-02 22:30:00,30.0
98,98,2020-05-02 23:00:00,31.6
99,99,2020-05-02 23:30:00,22.0
100,100,2020-05-03 00:00:00,24.2
101,101,2020-05-03 00:30:00,20.8
102,102,2020-05-03 01:00:00,19.4
103,103,2020-05-03 01:30:00,18.6
104,104,2020-05-03 02:00:00,26.6
105,105,2020-05-03 02:30:00,19.0
106,106,2020-05-03 03:00:00,18.6
107,107,2020-05-03 03:30:00,16.0
108,108,2020-05-03 04:00:00,14.6
109,109,2020-05-03 04:30:00,14.8
110,110,2020-05-03 05:00:00,18.2
111,111,2020-05-03 05:30:00,28.0
112,112,2020-05-03 06:00:00,34.6
113,113,2020-05-03 06:30:00,46.8
114,114,2020-05-03 07:00:00,60.2
115,115,2020-05-03 07:30:00,73.8
116,116,2020-05-03 08:00:00,82.4
117,117,2020-05-03 08:30:00,88.4
118,118,2020-05-03 09:00:00,90.0
119,119,2020-05-03 09:30:00,93.6
120,120,2020-05-03 10:00:00,91.4
121,121,2020-05-03 10:30:00,93.6
122,122,2020-05-03 11:00:00,78.8
123,123,2020-05-03 11:30:00,83.0
124,124,2020-05-03 12:00:00,73.8
125,125,2020-05-03 12:30:00,76.2
126,126,2020-05-03 13:00:00,74.6
127,127,2020-05-03 13:30:00,69.0
128,128,2020-05-03 14:00:00,59.2
129,129,2020-05-03 14:30:00,48.0
130,130,2020-05-03 15:00:00,48.2
131,131,2020-05-03 15:30:00,55.400000000000006
132,132,2020-05-03 16:00:00,59.0
133,133,2020-05-03 16:30:00,50.0
134,134,2020-05-03 17:00:00,54.4
135,135,2020-05-03 17:30:00,57.8
136,136,2020-05-03 18:00:00,57.0
137,137,2020-05-03 18:30:00,54.6
138,138,2020-05-03 19:00:00,56.6
139,139,2020-05-03 19:30:00,68.0
140,140,2020-05-03 20:00:00,63.6
141,141,2020-05-03 20:30:00,56.8
142,142,2020-05-03 21:00:00,53.0
143,143,2020-05-03 21:30:00,42.8
144,144,2020-05-03 22:00:00,35.8
145,145,2020-05-03 22:30:00,32.4
146,146,2020-05-03 23:00:00,27.2
147,147,2020-05-03 23:30:00,20.4
148,148,2020-05-04 00:00:00,21.200000000000003
149,149,2020-05-04 00:30:00,19.6
150,150,2020-05-04 01:00:00,14.8
151,151,2020-05-04 01:30:00,14.0
152,152,2020-05-04 02:00:00,21.4
153,153,2020-05-04 02:30:00,12.4
154,154,2020-05-04 03:00:00,12.8
155,155,2020-05-04 03:30:00,34.400000000000006
156,156,2020-05-04 04:00:00,15.0
157,157,2020-05-04 04:30:00,21.6
158,158,2020-05-04 05:00:00,31.6
159,159,2020-05-04 05:30:00,52.2
160,160,2020-05-04 06:00:00,60.4
161,161,2020-05-04 06:30:00,78.19999999999999
162,162,2020-05-04 07:00:00,83.6
163,163,2020-05-04 07:30:00,88.6
164,164,2020-05-04 08:00:00,96.8
165,165,2020-05-04 08:30:00,99.0
166,166,2020-05-04 09:00:00,100.8
167,167,2020-05-04 09:30:00,90.8
168,168,2020-05-04 10:00:00,92.4
169,169,2020-05-04 10:30:00,81.6
170,170,2020-05-04 11:00:00,83.6
171,171,2020-05-04 11:30:00,80.19999999999999
172,172,2020-05-04 12:00:00,88.19999999999999
