Time,Values
2022-01-18 05:00:00,46.4
2022-01-18 05:30:00,64.4
2022-01-18 06:00:00,117.2
2022-01-18 06:30:00,170.4
2022-01-18 07:00:00,181.2
2022-01-18 07:30:00,215.2
2022-01-18 08:00:00,202.0
2022-01-18 08:30:00,228.4
2022-01-18 09:00:00,249.2
2022-01-18 09:30:00,256.4
2022-01-18 10:00:00,244.0
2022-01-18 10:30:00,242.8
2022-01-18 11:00:00,229.6
2022-01-18 11:30:00,221.2
2022-01-18 12:00:00,211.2
2022-01-18 12:30:00,214.0
2022-01-18 13:00:00,202.4
2022-01-18 13:30:00,211.6
2022-01-18 14:00:00,209.2
2022-01-18 14:30:00,216.0
2022-01-18 15:00:00,215.2
2022-01-18 15:30:00,211.2
2022-01-18 16:00:00,184.4
2022-01-18 16:30:00,167.6
2022-01-18 17:00:00,162.4
2022-01-18 17:30:00,171.2
2022-01-18 18:00:00,196.4
2022-01-18 18:30:00,198.0
2022-01-18 19:00:00,188.0
2022-01-18 19:30:00,197.2
2022-01-18 20:00:00,199.2
2022-01-18 20:30:00,205.6
2022-01-18 21:00:00,218.4
2022-01-18 21:30:00,165.6
2022-01-18 22:00:00,147.6
2022-01-18 22:30:00,130.4
2022-01-18 23:00:00,108.4
2022-01-18 23:30:00,99.2
2022-01-19 00:00:00,75.6
2022-01-19 00:30:00,63.2
2022-01-19 01:00:00,58.4
2022-01-19 01:30:00,51.2
2022-01-19 02:00:00,56.8
2022-01-19 02:30:00,50.0
2022-01-19 03:00:00,40.0
2022-01-19 03:30:00,44.4
2022-01-19 04:00:00,48.4
2022-01-19 04:30:00,54.8
2022-01-19 05:00:00,50.8
2022-01-19 05:30:00,70.8
2022-01-19 06:00:00,95.6
2022-01-19 06:30:00,159.2
2022-01-19 07:00:00,186.4
2022-01-19 07:30:00,204.0
2022-01-19 08:00:00,224.4
2022-01-19 08:30:00,237.6
2022-01-19 09:00:00,240.4
2022-01-19 09:30:00,237.2
2022-01-19 10:00:00,245.6
2022-01-19 10:30:00,246.0
2022-01-19 11:00:00,253.2
2022-01-19 11:30:00,212.0
2022-01-19 12:00:00,205.2
2022-01-19 12:30:00,220.4
2022-01-19 13:00:00,206.4
2022-01-19 13:30:00,218.0
2022-01-19 14:00:00,215.2
2022-01-19 14:30:00,242.4
2022-01-19 15:00:00,207.2
2022-01-19 15:30:00,194.4
2022-01-19 16:00:00,174.8
2022-01-19 16:30:00,168.8
2022-01-19 17:00:00,172.4
2022-01-19 17:30:00,166.8
2022-01-19 18:00:00,170.0
2022-01-19 18:30:00,178.4
2022-01-19 19:00:00,184.8
2022-01-19 19:30:00,208.0
2022-01-19 20:00:00,224.4
2022-01-19 20:30:00,208.4
2022-01-19 21:00:00,192.0
2022-01-19 21:30:00,174.0
2022-01-19 22:00:00,150.0
2022-01-19 22:30:00,136.0
2022-01-19 23:00:00,116.4
2022-01-19 23:30:00,108.4
2022-01-20 00:00:00,82.4
2022-01-20 00:30:00,61.2
2022-01-20 01:00:00,55.6
2022-01-20 01:30:00,51.6
2022-01-20 02:00:00,45.2
2022-01-20 02:30:00,60.8
2022-01-20 03:00:00,58.8
2022-01-20 03:30:00,73.6
2022-01-20 04:00:00,61.2
2022-01-20 04:30:00,61.2
2022-01-20 05:00:00,60.4
2022-01-20 05:30:00,70.0
2022-01-20 06:00:00,104.8
2022-01-20 06:30:00,160.0
2022-01-20 07:00:00,190.4
2022-01-20 07:30:00,207.6
2022-01-20 08:00:00,225.6
2022-01-20 08:30:00,243.6
2022-01-20 09:00:00,196.0
2022-01-20 09:30:00,124.4
2022-01-20 10:00:00,195.2
2022-01-20 10:30:00,260.0
2022-01-20 11:00:00,248.4
2022-01-20 11:30:00,221.2
2022-01-20 12:00:00,210.8
2022-01-20 12:30:00,206.4
2022-01-20 13:00:00,221.2
2022-01-20 13:30:00,214.0
2022-01-20 14:00:00,234.0
2022-01-20 14:30:00,228.0
2022-01-20 15:00:00,215.6
2022-01-20 15:30:00,208.8
2022-01-20 16:00:00,177.2
2022-01-20 16:30:00,181.2
2022-01-20 17:00:00,179.6
2022-01-20 17:30:00,170.4
2022-01-20 18:00:00,171.2
2022-01-20 18:30:00,170.0
2022-01-20 19:00:00,207.6
2022-01-20 19:30:00,206.0
2022-01-20 20:00:00,206.8
2022-01-20 20:30:00,194.0
2022-01-20 21:00:00,204.8
2022-01-20 21:30:00,158.8
2022-01-20 22:00:00,160.8
2022-01-20 22:30:00,127.6
2022-01-20 23:00:00,113.2
2022-01-20 23:30:00,105.2
2022-01-21 00:00:00,88.4
2022-01-21 00:30:00,69.6
2022-01-21 01:00:00,59.2
2022-01-21 01:30:00,50.4
2022-01-21 02:00:00,51.2
2022-01-21 02:30:00,45.2
2022-01-21 03:00:00,43.6
2022-01-21 03:30:00,48.0
2022-01-21 04:00:00,48.4
2022-01-21 04:30:00,46.4
2022-01-21 05:00:00,56.0
2022-01-21 05:30:00,76.8
2022-01-21 06:00:00,101.2
2022-01-21 06:30:00,155.2
2022-01-21 07:00:00,204.0
2022-01-21 07:30:00,202.8
2022-01-21 08:00:00,216.0
2022-01-21 08:30:00,226.0
2022-01-21 09:00:00,243.2
2022-01-21 09:30:00,278.4
2022-01-21 10:00:00,255.6
2022-01-21 10:30:00,249.6
2022-01-21 11:00:00,234.4
2022-01-21 11:30:00,242.0
2022-01-21 12:00:00,233.2
2022-01-21 12:30:00,229.6
2022-01-21 13:00:00,228.4
2022-01-21 13:30:00,229.2
2022-01-21 14:00:00,229.6
2022-01-21 14:30:00,230.4
2022-01-21 15:00:00,251.2
2022-01-21 15:30:00,229.6
2022-01-21 16:00:00,208.8
2022-01-21 16:30:00,193.2
2022-01-21 17:00:00,175.6
2022-01-21 17:30:00,181.2
2022-01-21 18:00:00,185.2
2022-01-21 18:30:00,184.0
2022-01-21 19:00:00,175.2
2022-01-21 19:30:00,187.6
2022-01-21 20:00:00,185.2
2022-01-21 20:30:00,184.0
2022-01-21 21:00:00,175.6
2022-01-21 21:30:00,179.6
2022-01-21 22:00:00,154.8
2022-01-21 22:30:00,133.2
2022-01-21 23:00:00,125.6
2022-01-21 23:30:00,108.8
2022-01-22 00:00:00,92.4
2022-01-22 00:30:00,76.4
2022-01-22 01:00:00,65.6
2022-01-22 01:30:00,68.4
2022-01-22 02:00:00,63.6
2022-01-22 02:30:00,47.6
2022-01-22 03:00:00,41.6
2022-01-22 03:30:00,41.6
2022-01-22 04:00:00,45.6
2022-01-22 04:30:00,44.0
2022-01-22 05:00:00,64.0
2022-01-22 05:30:00,61.6
2022-01-22 06:00:00,71.6
2022-01-22 06:30:00,82.8
2022-01-22 07:00:00,93.6
2022-01-22 07:30:00,139.6
2022-01-22 08:00:00,185.2
2022-01-22 08:30:00,222.8
2022-01-22 09:00:00,252.8
2022-01-22 09:30:00,286.80002
2022-01-22 10:00:00,305.6
2022-01-22 10:30:00,322.80002
2022-01-22 11:00:00,286.80002
2022-01-22 11:30:00,282.80002
2022-01-22 12:00:00,268.80002
2022-01-22 12:30:00,255.2
2022-01-22 13:00:00,264.8
2022-01-22 13:30:00,256.8
2022-01-22 14:00:00,244.4
2022-01-22 14:30:00,240.0
2022-01-22 15:00:00,223.2
2022-01-22 15:30:00,205.2
2022-01-22 16:00:00,188.0
2022-01-22 16:30:00,184.4
2022-01-22 17:00:00,169.2
2022-01-22 17:30:00,166.8
2022-01-22 18:00:00,158.8
2022-01-22 18:30:00,159.2
2022-01-22 19:00:00,158.4
2022-01-22 19:30:00,169.6
2022-01-22 20:00:00,161.2
2022-01-22 20:30:00,162.0
2022-01-22 21:00:00,158.8
2022-01-22 21:30:00,156.0
2022-01-22 22:00:00,140.8
2022-01-22 22:30:00,146.4
2022-01-22 23:00:00,123.6
2022-01-22 23:30:00,116.0
2022-01-23 00:00:00,93.6
2022-01-23 00:30:00,81.2
2022-01-23 01:00:00,71.6
2022-01-23 01:30:00,61.2
2022-01-23 02:00:00,56.4
2022-01-23 02:30:00,53.2
2022-01-23 03:00:00,51.2
2022-01-23 03:30:00,50.4
2022-01-23 04:00:00,46.0
2022-01-23 04:30:00,40.0
2022-01-23 05:00:00,41.6
2022-01-23 05:30:00,45.6
2022-01-23 06:00:00,46.0
2022-01-23 06:30:00,49.6
2022-01-23 07:00:00,72.8
2022-01-23 07:30:00,100.4
2022-01-23 08:00:00,115.6
2022-01-23 08:30:00,155.6
2022-01-23 09:00:00,194.4
2022-01-23 09:30:00,228.4
2022-01-23 10:00:00,255.2
2022-01-23 10:30:00,276.0
2022-01-23 11:00:00,280.0
2022-01-23 11:30:00,255.2
2022-01-23 12:00:00,256.8
2022-01-23 12:30:00,248.8
2022-01-23 13:00:00,234.4
2022-01-23 13:30:00,215.6
2022-01-23 14:00:00,204.0
2022-01-23 14:30:00,205.6
2022-01-23 15:00:00,188.4
2022-01-23 15:30:00,186.0
2022-01-23 16:00:00,151.6
2022-01-23 16:30:00,145.6
2022-01-23 17:00:00,141.6
2022-01-23 17:30:00,152.0
2022-01-23 18:00:00,167.2
2022-01-23 18:30:00,184.0
2022-01-23 19:00:00,178.0
2022-01-23 19:30:00,182.0
2022-01-23 20:00:00,179.6
2022-01-23 20:30:00,186.8
2022-01-23 21:00:00,190.0
2022-01-23 21:30:00,163.2
2022-01-23 22:00:00,136.4
2022-01-23 22:30:00,119.6
2022-01-23 23:00:00,116.4
2022-01-23 23:30:00,106.4
2022-01-24 00:00:00,92.0
2022-01-24 00:30:00,71.2
2022-01-24 01:00:00,55.6
2022-01-24 01:30:00,49.2
2022-01-24 02:00:00,46.4
2022-01-24 02:30:00,65.2
2022-01-24 03:00:00,60.8
2022-01-24 03:30:00,76.8
2022-01-24 04:00:00,67.2
2022-01-24 04:30:00,58.4
2022-01-24 05:00:00,51.2
2022-01-24 05:30:00,65.2
2022-01-24 06:00:00,88.8
2022-01-24 06:30:00,151.6
2022-01-24 07:00:00,174.4
2022-01-24 07:30:00,212.4
2022-01-24 08:00:00,223.2
2022-01-24 08:30:00,238.4
2022-01-24 09:00:00,237.2
2022-01-24 09:30:00,260.8
2022-01-24 10:00:00,264.0
2022-01-24 10:30:00,232.0
2022-01-24 11:00:00,230.0
2022-01-24 11:30:00,230.0
2022-01-24 12:00:00,221.6
2022-01-24 12:30:00,200.4
2022-01-24 13:00:00,200.0
2022-01-24 13:30:00,204.8
2022-01-24 14:00:00,222.4
2022-01-24 14:30:00,214.4
2022-01-24 15:00:00,220.4
2022-01-24 15:30:00,182.8
2022-01-24 16:00:00,167.6
2022-01-24 16:30:00,151.2
2022-01-24 17:00:00,164.8
2022-01-24 17:30:00,178.4
2022-01-24 18:00:00,170.4
2022-01-24 18:30:00,162.4
2022-01-24 19:00:00,186.8
2022-01-24 19:30:00,197.6
2022-01-24 20:00:00,208.8
2022-01-24 20:30:00,219.6
2022-01-24 21:00:00,204.4
2022-01-24 21:30:00,172.4
2022-01-24 22:00:00,148.4
2022-01-24 22:30:00,131.6
2022-01-24 23:00:00,113.2
2022-01-24 23:30:00,110.0
2022-01-25 00:00:00,89.2
2022-01-25 00:30:00,62.4
2022-01-25 01:00:00,51.2
2022-01-25 01:30:00,56.0
2022-01-25 02:00:00,44.4
2022-01-25 02:30:00,46.4
2022-01-25 03:00:00,45.6
2022-01-25 03:30:00,40.8
2022-01-25 04:00:00,40.8
2022-01-25 04:30:00,39.6
2022-01-25 23:00:00,116.8
2022-01-25 23:30:00,92.4
2022-01-26 00:00:00,73.6
2022-01-26 00:30:00,69.6
2022-01-26 01:00:00,63.2
2022-01-26 01:30:00,52.4
2022-01-26 02:00:00,47.6
2022-01-26 02:30:00,44.4
2022-01-26 03:00:00,42.0
2022-01-26 03:30:00,42.0
2022-01-26 04:00:00,47.2
2022-01-26 04:30:00,49.6
2022-01-26 05:00:00,52.0
2022-01-26 05:30:00,73.2
2022-01-26 06:00:00,103.2
2022-01-26 06:30:00,155.2
2022-01-26 07:00:00,189.2
2022-01-26 07:30:00,213.6
2022-01-26 08:00:00,234.0
2022-01-26 08:30:00,246.8
2022-01-26 09:00:00,247.2
2022-01-26 09:30:00,247.6
2022-01-26 10:00:00,253.2
2022-01-26 10:30:00,279.6
2022-01-26 11:00:00,236.4
2022-01-26 11:30:00,232.4
2022-01-26 12:00:00,221.2
2022-01-26 12:30:00,215.2
2022-01-26 13:00:00,219.2
2022-01-26 13:30:00,228.8
2022-01-26 14:00:00,236.4
2022-01-26 14:30:00,215.6
2022-01-26 15:00:00,213.2
2022-01-26 15:30:00,203.6
2022-01-26 16:00:00,186.4
2022-01-26 16:30:00,187.6
2022-01-26 17:00:00,177.2
2022-01-26 17:30:00,169.6
2022-01-26 18:00:00,172.4
2022-01-26 18:30:00,191.6
2022-01-26 19:00:00,217.6
2022-01-26 19:30:00,194.4
2022-01-26 20:00:00,201.2
2022-01-26 20:30:00,194.8
2022-01-26 21:00:00,227.2
2022-01-26 21:30:00,185.6
2022-01-26 22:00:00,157.6
2022-01-26 22:30:00,132.4
2022-01-26 23:00:00,112.0
2022-01-26 23:30:00,97.2
2022-01-27 00:00:00,85.6
2022-01-27 00:30:00,69.2
2022-01-27 01:00:00,58.4
2022-01-27 01:30:00,52.4
2022-01-27 02:00:00,47.6
2022-01-27 02:30:00,44.4
2022-01-27 03:00:00,41.6
2022-01-27 03:30:00,42.4
2022-01-27 04:00:00,40.4
2022-01-27 04:30:00,44.4
2022-01-27 05:00:00,58.4
2022-01-27 05:30:00,76.0
2022-01-27 06:00:00,109.6
2022-01-27 06:30:00,168.8
2022-01-27 07:00:00,192.0
2022-01-27 07:30:00,211.2
2022-01-27 08:00:00,222.0
2022-01-27 08:30:00,228.0
2022-01-27 09:00:00,263.2
2022-01-27 09:30:00,267.6
2022-01-27 10:00:00,249.6
2022-01-27 10:30:00,244.4
2022-01-27 11:00:00,236.4
2022-01-27 11:30:00,237.6
2022-01-27 12:00:00,208.0
2022-01-27 12:30:00,212.4
2022-01-27 13:00:00,213.6
2022-01-27 13:30:00,208.8
2022-01-27 14:00:00,204.0
2022-01-27 14:30:00,226.0
2022-01-27 15:00:00,213.6
2022-01-27 15:30:00,205.2
2022-01-27 16:00:00,184.8
2022-01-27 16:30:00,174.0
2022-01-27 17:00:00,174.0
2022-01-27 17:30:00,190.8
2022-01-27 18:00:00,170.4
2022-01-27 18:30:00,181.6
2022-01-27 19:00:00,185.2
