Time,Values
2022-07-19 23:00:00,82.4
2022-07-19 23:30:00,73.4
2022-07-20 00:00:00,56.6
2022-07-20 00:30:00,50.0
2022-07-20 01:00:00,42.6
2022-07-20 01:30:00,36.2
2022-07-20 02:00:00,34.8
2022-07-20 02:30:00,33.6
2022-07-20 03:00:00,32.8
2022-07-20 03:30:00,34.0
2022-07-20 04:00:00,31.2
2022-07-20 04:30:00,37.8
2022-07-20 05:00:00,37.4
2022-07-20 05:30:00,37.2
2022-07-20 06:00:00,47.2
2022-07-20 06:30:00,59.8
2022-07-20 07:00:00,75.2
2022-07-20 07:30:00,99.2
2022-07-20 08:00:00,111.0
2022-07-20 08:30:00,113.4
2022-07-20 09:00:00,125.4
2022-07-20 09:30:00,122.0
2022-07-20 10:00:00,124.8
2022-07-20 10:30:00,125.8
2022-07-20 11:00:00,127.6
2022-07-20 11:30:00,119.4
2022-07-20 12:00:00,115.0
2022-07-20 12:30:00,112.2
2022-07-20 13:00:00,108.4
2022-07-20 13:30:00,112.8
2022-07-20 14:00:00,107.0
2022-07-20 14:30:00,109.2
2022-07-20 15:00:00,102.8
2022-07-20 15:30:00,106.4
2022-07-20 16:00:00,98.2
2022-07-20 16:30:00,96.6
2022-07-20 17:00:00,87.8
2022-07-20 17:30:00,90.0
2022-07-20 18:00:00,94.8
2022-07-20 18:30:00,93.8
2022-07-20 19:00:00,101.8
2022-07-20 19:30:00,114.6
2022-07-20 20:00:00,108.8
2022-07-20 20:30:00,108.8
2022-07-20 21:00:00,109.2
2022-07-20 21:30:00,95.2
2022-07-20 22:00:00,98.0
2022-07-20 22:30:00,92.0
2022-07-20 23:00:00,87.2
2022-07-20 23:30:00,72.8
2022-07-21 00:00:00,65.2
2022-07-21 00:30:00,55.6
2022-07-21 01:00:00,43.8
2022-07-21 01:30:00,36.6
2022-07-21 02:00:00,32.8
2022-07-21 02:30:00,37.0
2022-07-21 03:00:00,37.6
2022-07-21 03:30:00,35.6
2022-07-21 04:00:00,26.8
2022-07-21 04:30:00,33.8
2022-07-21 05:00:00,36.8
2022-07-21 05:30:00,36.8
2022-07-21 06:00:00,43.4
2022-07-21 06:30:00,54.2
2022-07-21 07:00:00,73.8
2022-07-21 07:30:00,89.6
2022-07-21 08:00:00,113.2
2022-07-21 08:30:00,121.0
2022-07-21 09:00:00,103.6
2022-07-21 09:30:00,110.6
2022-07-21 10:00:00,106.8
2022-07-21 10:30:00,110.6
2022-07-21 11:00:00,143.6
2022-07-21 11:30:00,166.2
2022-07-21 12:00:00,126.2
2022-07-21 12:30:00,103.2
2022-07-21 13:00:00,107.8
2022-07-21 13:30:00,128.2
2022-07-21 14:00:00,152.0
2022-07-21 14:30:00,141.6
2022-07-21 15:00:00,121.6
2022-07-21 15:30:00,105.6
2022-07-21 16:00:00,98.6
2022-07-21 16:30:00,90.8
2022-07-21 17:00:00,92.8
2022-07-21 17:30:00,92.2
2022-07-21 18:00:00,97.0
2022-07-21 18:30:00,102.2
2022-07-21 19:00:00,113.4
2022-07-21 19:30:00,118.8
2022-07-21 20:00:00,108.0
2022-07-21 20:30:00,108.0
2022-07-21 21:00:00,106.8
2022-07-21 21:30:00,97.0
2022-07-21 22:00:00,89.2
2022-07-21 22:30:00,87.2
2022-07-21 23:00:00,84.4
2022-07-21 23:30:00,71.6
2022-07-22 00:00:00,59.2
2022-07-22 00:30:00,46.6
2022-07-22 01:00:00,37.6
2022-07-22 01:30:00,33.4
2022-07-22 02:00:00,29.2
2022-07-22 02:30:00,27.0
