#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T14:30:00Z,,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T15:00:00Z,197.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T15:30:00Z,182,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T16:00:00Z,182.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T16:30:00Z,169.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T17:00:00Z,192,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T17:30:00Z,199.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T18:00:00Z,210.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T18:30:00Z,206.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T19:00:00Z,209.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T19:30:00Z,224.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T20:00:00Z,206.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T20:30:00Z,205.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T21:00:00Z,180.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T21:30:00Z,164.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T22:00:00Z,146.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T22:30:00Z,133.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T23:00:00Z,119.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-23T23:30:00Z,101.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T00:00:00Z,87.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T00:30:00Z,74.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T01:00:00Z,66,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T01:30:00Z,62.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T02:00:00Z,58.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T02:30:00Z,63.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T03:00:00Z,69.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T03:30:00Z,92.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T04:00:00Z,109.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T04:30:00Z,78.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T05:00:00Z,96.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T05:30:00Z,120.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T06:00:00Z,176.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T06:30:00Z,197.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T07:00:00Z,238.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T07:30:00Z,238.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T08:00:00Z,251.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T08:30:00Z,272.80002,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T09:00:00Z,268,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T09:30:00Z,254.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T10:00:00Z,263.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T10:30:00Z,261.6,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T11:00:00Z,229.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T11:30:00Z,224.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T12:00:00Z,225.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T12:30:00Z,224.4,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T13:00:00Z,230.8,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T13:30:00Z,239.2,value,mercado_flow
,,0,2022-10-23T14:05:20.7504468Z,2022-11-22T14:05:20.7504468Z,2022-10-24T14:00:00Z,231.6,value,mercado_flow
