#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T14:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T15:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T15:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T16:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T16:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T17:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T17:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T18:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T18:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T19:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T19:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T20:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T20:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T21:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T21:30:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T22:00:00Z,,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T22:30:00Z,62.2,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T23:00:00Z,50,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-23T23:30:00Z,41.2,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T00:00:00Z,35.4,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T00:30:00Z,29.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T01:00:00Z,27.8,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T01:30:00Z,23.8,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T02:00:00Z,30.2,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T02:30:00Z,25.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T03:00:00Z,25.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T03:30:00Z,21.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T04:00:00Z,32.4,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T04:30:00Z,28.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T05:00:00Z,35.4,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T05:30:00Z,50.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T06:00:00Z,69.4,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T06:30:00Z,77.2,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T07:00:00Z,91.6,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T07:30:00Z,105,value,montaneta_flow
,,0,2022-10-23T14:05:50.4057002Z,2022-11-22T14:05:50.4057002Z,2022-10-24T08:00:00Z,116.6,value,montaneta_flow
