,Time,Values
0,2020-04-30 22:00:00,11.0
1,2020-04-30 22:30:00,9.2
2,2020-04-30 23:00:00,11.0
3,2020-04-30 23:30:00,6.8
4,2020-05-01 00:00:00,8.8
5,2020-05-01 00:30:00,6.4
6,2020-05-01 01:00:00,8.4
7,2020-05-01 01:30:00,7.8
8,2020-05-01 02:00:00,2.6
9,2020-05-01 02:30:00,4.8
10,2020-05-01 03:00:00,2.0
11,2020-05-01 03:30:00,5.6
12,2020-05-01 04:00:00,2.6
13,2020-05-01 04:30:00,10.8
14,2020-05-01 05:00:00,7.6
15,2020-05-01 05:30:00,7.6
16,2020-05-01 06:00:00,8.8
17,2020-05-01 06:30:00,9.0
18,2020-05-01 07:00:00,12.0
19,2020-05-01 07:30:00,15.2
20,2020-05-01 08:00:00,22.4
21,2020-05-01 08:30:00,23.2
22,2020-05-01 09:00:00,26.6
23,2020-05-01 09:30:00,29.6
24,2020-05-01 10:00:00,25.6
25,2020-05-01 10:30:00,27.6
26,2020-05-01 11:00:00,22.8
27,2020-05-01 11:30:00,20.4
28,2020-05-01 12:00:00,26.0
29,2020-05-01 12:30:00,23.6
30,2020-05-01 13:00:00,26.6
31,2020-05-01 13:30:00,21.4
32,2020-05-01 14:00:00,23.8
33,2020-05-01 14:30:00,15.4
34,2020-05-01 15:00:00,15.4
35,2020-05-01 15:30:00,13.0
36,2020-05-01 16:00:00,12.0
37,2020-05-01 16:30:00,15.6
38,2020-05-01 17:00:00,15.4
39,2020-05-01 17:30:00,14.6
40,2020-05-01 18:00:00,17.0
41,2020-05-01 18:30:00,14.0
42,2020-05-01 19:00:00,18.6
43,2020-05-01 19:30:00,15.4
44,2020-05-01 20:00:00,15.2
45,2020-05-01 20:30:00,16.0
46,2020-05-01 21:00:00,11.4
47,2020-05-01 21:30:00,12.2
48,2020-05-01 22:00:00,8.0
49,2020-05-01 22:30:00,10.8
50,2020-05-01 23:00:00,6.8
51,2020-05-01 23:30:00,8.0
52,2020-05-02 00:00:00,4.2
53,2020-05-02 00:30:00,7.2
54,2020-05-02 01:00:00,3.0
55,2020-05-02 01:30:00,5.6
56,2020-05-02 02:00:00,2.2
57,2020-05-02 02:30:00,5.4
58,2020-05-02 03:00:00,2.0
59,2020-05-02 03:30:00,1.8
60,2020-05-02 04:00:00,4.8
61,2020-05-02 04:30:00,6.0
62,2020-05-02 05:00:00,8.8
63,2020-05-02 05:30:00,7.0
64,2020-05-02 06:00:00,11.0
65,2020-05-02 06:30:00,11.0
66,2020-05-02 07:00:00,14.6
67,2020-05-02 07:30:00,20.0
68,2020-05-02 08:00:00,21.4
69,2020-05-02 08:30:00,25.0
70,2020-05-02 09:00:00,28.6
71,2020-05-02 09:30:00,26.8
72,2020-05-02 10:00:00,26.0
73,2020-05-02 10:30:00,30.0
74,2020-05-02 11:00:00,22.6
75,2020-05-02 11:30:00,24.4
76,2020-05-02 12:00:00,26.6
77,2020-05-02 12:30:00,24.0
78,2020-05-02 13:00:00,24.8
79,2020-05-02 13:30:00,24.4
80,2020-05-02 14:00:00,22.6
81,2020-05-02 14:30:00,16.2
82,2020-05-02 15:00:00,16.6
83,2020-05-02 15:30:00,13.0
84,2020-05-02 16:00:00,14.4
85,2020-05-02 16:30:00,16.2
86,2020-05-02 17:00:00,15.4
87,2020-05-02 17:30:00,19.2
88,2020-05-02 18:00:00,18.2
89,2020-05-02 18:30:00,15.8
90,2020-05-02 19:00:00,18.8
91,2020-05-02 19:30:00,15.0
92,2020-05-02 20:00:00,21.6
93,2020-05-02 20:30:00,16.0
94,2020-05-02 21:00:00,15.8
95,2020-05-02 21:30:00,10.8
96,2020-05-02 22:00:00,10.6
97,2020-05-02 22:30:00,14.4
98,2020-05-02 23:00:00,11.2
99,2020-05-02 23:30:00,7.4
100,2020-05-03 00:00:00,10.2
101,2020-05-03 00:30:00,6.2
102,2020-05-03 01:00:00,4.8
103,2020-05-03 01:30:00,6.0
104,2020-05-03 02:00:00,5.8
105,2020-05-03 02:30:00,2.8
106,2020-05-03 03:00:00,2.4
107,2020-05-03 03:30:00,5.4
108,2020-05-03 04:00:00,2.6
109,2020-05-03 04:30:00,7.0
110,2020-05-03 05:00:00,9.2
111,2020-05-03 05:30:00,8.0
112,2020-05-03 06:00:00,8.4
113,2020-05-03 06:30:00,12.4
114,2020-05-03 07:00:00,14.6
115,2020-05-03 07:30:00,17.2
116,2020-05-03 08:00:00,19.6
117,2020-05-03 08:30:00,27.0
118,2020-05-03 09:00:00,23.6
119,2020-05-03 09:30:00,26.4
120,2020-05-03 10:00:00,26.4
121,2020-05-03 10:30:00,24.2
122,2020-05-03 11:00:00,26.0
123,2020-05-03 11:30:00,28.8
124,2020-05-03 12:00:00,24.2
125,2020-05-03 12:30:00,24.8
126,2020-05-03 13:00:00,21.8
127,2020-05-03 13:30:00,21.0
128,2020-05-03 14:00:00,16.8
129,2020-05-03 14:30:00,16.8
130,2020-05-03 15:00:00,13.6
131,2020-05-03 15:30:00,11.4
132,2020-05-03 16:00:00,15.4
133,2020-05-03 16:30:00,14.2
134,2020-05-03 17:00:00,14.2
135,2020-05-03 17:30:00,18.0
136,2020-05-03 18:00:00,15.0
137,2020-05-03 18:30:00,18.8
138,2020-05-03 19:00:00,14.0
139,2020-05-03 19:30:00,19.0
140,2020-05-03 20:00:00,23.6
141,2020-05-03 20:30:00,17.6
142,2020-05-03 21:00:00,15.8
143,2020-05-03 21:30:00,11.8
144,2020-05-03 22:00:00,12.8
145,2020-05-03 22:30:00,11.0
146,2020-05-03 23:00:00,9.2
147,2020-05-03 23:30:00,10.6
148,2020-05-04 00:00:00,6.4
149,2020-05-04 00:30:00,6.0
150,2020-05-04 01:00:00,3.0
151,2020-05-04 01:30:00,5.6
152,2020-05-04 02:00:00,2.4
153,2020-05-04 02:30:00,5.6
154,2020-05-04 03:00:00,2.6
155,2020-05-04 03:30:00,5.8
156,2020-05-04 04:00:00,3.0
157,2020-05-04 04:30:00,13.2
158,2020-05-04 05:00:00,10.6
159,2020-05-04 05:30:00,9.0
160,2020-05-04 06:00:00,13.4
161,2020-05-04 06:30:00,17.4
162,2020-05-04 07:00:00,17.2
163,2020-05-04 07:30:00,19.8
164,2020-05-04 08:00:00,23.0
165,2020-05-04 08:30:00,26.0
166,2020-05-04 09:00:00,25.4
167,2020-05-04 09:30:00,21.4
168,2020-05-04 10:00:00,23.8
169,2020-05-04 10:30:00,25.6
170,2020-05-04 11:00:00,22.0
171,2020-05-04 11:30:00,23.2
172,2020-05-04 12:00:00,20.8
173,2020-05-04 12:30:00,23.6
174,2020-05-04 13:00:00,20.8
175,2020-05-04 13:30:00,23.0
176,2020-05-04 14:00:00,18.8
177,2020-05-04 14:30:00,18.8
178,2020-05-04 15:00:00,14.8
179,2020-05-04 15:30:00,16.0
180,2020-05-04 16:00:00,13.4
181,2020-05-04 16:30:00,17.4
182,2020-05-04 17:00:00,13.6
183,2020-05-04 17:30:00,15.4
184,2020-05-04 18:00:00,17.4
185,2020-05-04 18:30:00,16.0
186,2020-05-04 19:00:00,18.8
187,2020-05-04 19:30:00,22.4
188,2020-05-04 20:00:00,21.2
189,2020-05-04 20:30:00,20.6
190,2020-05-04 21:00:00,13.6
191,2020-05-04 21:30:00,15.2
192,2020-05-04 22:00:00,12.0
193,2020-05-04 22:30:00,13.4
194,2020-05-04 23:00:00,8.6
195,2020-05-04 23:30:00,8.6
196,2020-05-05 00:00:00,5.2
197,2020-05-05 00:30:00,6.0
198,2020-05-05 01:00:00,5.8
199,2020-05-05 01:30:00,2.0
200,2020-05-05 02:00:00,4.4
201,2020-05-05 02:30:00,5.0
202,2020-05-05 03:00:00,1.8
203,2020-05-05 03:30:00,4.6
204,2020-05-05 04:00:00,4.2
205,2020-05-05 04:30:00,8.2
206,2020-05-05 05:00:00,12.8
207,2020-05-05 05:30:00,12.2
208,2020-05-05 06:00:00,11.0
209,2020-05-05 06:30:00,17.2
210,2020-05-05 07:00:00,17.8
211,2020-05-05 07:30:00,19.0
212,2020-05-05 08:00:00,23.8
213,2020-05-05 08:30:00,22.8
214,2020-05-05 09:00:00,23.0
215,2020-05-05 09:30:00,26.6
216,2020-05-05 10:00:00,22.8
217,2020-05-05 10:30:00,20.4
218,2020-05-05 11:00:00,22.6
219,2020-05-05 11:30:00,19.6
220,2020-05-05 12:00:00,22.8
221,2020-05-05 12:30:00,23.0
222,2020-05-05 13:00:00,26.6
223,2020-05-05 13:30:00,22.4
224,2020-05-05 14:00:00,16.2
225,2020-05-05 14:30:00,16.2
226,2020-05-05 15:00:00,16.2
227,2020-05-05 15:30:00,13.8
228,2020-05-05 16:00:00,16.0
229,2020-05-05 16:30:00,16.0
230,2020-05-05 17:00:00,18.8
231,2020-05-05 17:30:00,15.0
232,2020-05-05 18:00:00,16.6
233,2020-05-05 18:30:00,21.6
234,2020-05-05 19:00:00,17.0
235,2020-05-05 19:30:00,21.0
236,2020-05-05 20:00:00,20.4
237,2020-05-05 20:30:00,18.2
238,2020-05-05 21:00:00,12.0
239,2020-05-05 21:30:00,14.6
240,2020-05-05 22:00:00,10.6
241,2020-05-05 22:30:00,12.6
242,2020-05-05 23:00:00,6.6
243,2020-05-05 23:30:00,11.0
244,2020-05-06 00:00:00,6.6
245,2020-05-06 00:30:00,8.4
246,2020-05-06 01:00:00,7.8
247,2020-05-06 01:30:00,2.4
248,2020-05-06 02:00:00,5.2
249,2020-05-06 02:30:00,2.6
250,2020-05-06 03:00:00,5.2
251,2020-05-06 03:30:00,2.2
252,2020-05-06 04:00:00,6.4
253,2020-05-06 04:30:00,9.2
254,2020-05-06 05:00:00,12.6
255,2020-05-06 05:30:00,8.6
256,2020-05-06 06:00:00,12.6
257,2020-05-06 06:30:00,20.6
258,2020-05-06 07:00:00,19.4
259,2020-05-06 07:30:00,20.2
260,2020-05-06 08:00:00,23.6
261,2020-05-06 08:30:00,22.8
262,2020-05-06 09:00:00,25.2
